キャリア,地域,都道府県,店名,住所,URL
au,東北,秋田県,au Style 横手,013-0063 秋田県横手市婦気大堤字婦気前２５３－１,https://www.au.com/storelocator/detail/?shopId=T-00078
au,東北,秋田県,au Style 秋田東,010-0041 秋田県秋田市広面字小沼古川端34-1,https://www.au.com/storelocator/detail/?shopId=T-00331
au,東北,秋田県,au Style 大館,017-0872 秋田県大館市片山町３丁目３－６,https://www.au.com/storelocator/detail/?shopId=T-00075
au,東北,秋田県,au Style 大曲,014-0033 秋田県大仙市和合字坪立１３７－２,https://www.au.com/storelocator/detail/?shopId=T-00076
au,東北,秋田県,au Style 天王,010-0201 秋田県潟上市天王字蒲沼６３－２７,https://www.au.com/storelocator/detail/?shopId=T-00219
au,東北,秋田県,au Style 能代,016-0878 秋田県能代市字臥竜山３１－１１,https://www.au.com/storelocator/detail/?shopId=T-00079
au,東北,秋田県,au Style 本荘,015-0843 秋田県由利本荘市東梵天２５７,https://www.au.com/storelocator/detail/?shopId=T-00080
au,東北,秋田県,ａｕショップ イオンモール秋田,010-1413 秋田県秋田市御所野地蔵田1-1-1　イオンモール秋田２F,https://www.au.com/storelocator/detail/?shopId=T-00294
au,東北,秋田県,ａｕショップ 横手中央,013-0060 秋田県横手市条里3丁目12番20号,https://www.au.com/storelocator/detail/?shopId=T-00315
au,東北,秋田県,ａｕショップ 秋田新国道,010-0962 秋田県秋田市八橋大畑1丁目6-37,https://www.au.com/storelocator/detail/?shopId=T-00227
au,東北,秋田県,ａｕショップ 秋田土崎,011-0951 秋田県秋田市土崎港相染町字沼端77-11,https://www.au.com/storelocator/detail/?shopId=T-00308
au,東北,秋田県,ａｕショップ 仁井田,010-1427 秋田県秋田市仁井田新田1丁目5-14,https://www.au.com/storelocator/detail/?shopId=T-00362
au,東北,秋田県,ａｕショップ 湯沢,012-0811 秋田県湯沢市桜通り２－７７,https://www.au.com/storelocator/detail/?shopId=T-00117
docomo,東北,秋田県,ドコモショップイオンタウン能代店,016-0121 秋田県能代市鰄渕字古屋布1 イオンタウン能代,https://shop.smt.docomo.ne.jp/shop_detail/0200201225500/index.html
docomo,東北,秋田県,ドコモショップイオンモール秋田店,010-1413 秋田県秋田市御所野地蔵田1-1 イオンモール秋田,https://shop.smt.docomo.ne.jp/shop_detail/0200201075400/index.html
docomo,東北,秋田県,ドコモショップイオンモール大曲店,014-0033 秋田県大仙市和合字坪立177 イオンモール大曲,https://shop.smt.docomo.ne.jp/shop_detail/0295150119300/index.html
