キャリア,地域,都道府県,店名,住所,URL
au,東北,青森県,au Style ＆ラビナ,038-0012 青森県青森市柳川１－５ ＆LOVINA ２F,https://www.au.com/storelocator/detail/?shopId=T-00408
au,東北,青森県,au Style イオンモールつがる柏,038-3107 青森県つがる市柏稲盛幾世41,https://www.au.com/storelocator/detail/?shopId=T-00224
au,東北,青森県,au Style 弘前西,036-8275 青森県弘前市大字城西4丁目７番地１０,https://www.au.com/storelocator/detail/?shopId=T-00239
au,東北,青森県,ａｕショップ むつ,035-0073 青森県むつ市中央２－２－３,https://www.au.com/storelocator/detail/?shopId=T-00100
au,東北,青森県,ａｕショップ 弘前堅田,036-8051 青森県弘前市宮川２丁目１－１５,https://www.au.com/storelocator/detail/?shopId=T-00106
au,東北,青森県,ａｕショップ 弘前早稲田,036-8087 青森県弘前市早稲田４丁目３-１５,https://www.au.com/storelocator/detail/?shopId=T-00284
au,東北,青森県,ａｕショップ 黒石,036-0371 青森県黒石市花園町2-5,https://www.au.com/storelocator/detail/?shopId=T-00105
au,東北,青森県,ａｕショップ 三沢,033-0036 青森県三沢市南町１－３１－３０６８,https://www.au.com/storelocator/detail/?shopId=T-00061
au,東北,青森県,ａｕショップ 十和田,034-0011 青森県十和田市稲生町１３－４３,https://www.au.com/storelocator/detail/?shopId=T-00052
au,東北,青森県,ａｕショップ 新青森駅前,038-0003 青森県青森市大字石江字高間３９－１,https://www.au.com/storelocator/detail/?shopId=T-00366
au,東北,青森県,ａｕショップ 青森東大野,030-0847 青森県青森市東大野２丁目１１－２,https://www.au.com/storelocator/detail/?shopId=T-00147
au,東北,青森県,ａｕショップ 青森虹ヶ丘,030-0947 青森県青森市浜館４－８－１０,https://www.au.com/storelocator/detail/?shopId=T-00242
au,東北,青森県,ａｕショップ 八戸城下,031-0072 青森県八戸市城下３丁目１４－２２,https://www.au.com/storelocator/detail/?shopId=T-00051
au,東北,青森県,ａｕショップ 八戸石堂,039-1165 青森県八戸市石堂１－２７－９,https://www.au.com/storelocator/detail/?shopId=T-00367
au,東北,青森県,ａｕショップ 八戸売市,031-0073 青森県八戸市売市２丁目１３－１６,https://www.au.com/storelocator/detail/?shopId=T-00375
au,東北,青森県,ａｕショップ 八戸湊高台,031-0823 青森県八戸市湊高台１－２－６,https://www.au.com/storelocator/detail/?shopId=T-00148
docomo,東北,青森県,ドコモショップイオンタウン弘前樋の口店,036-8278 青森県弘前市大字樋の口9-6,https://shop.smt.docomo.ne.jp/shop_detail/0200201054000/index.html
