キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,北海道,北海道,au Style 麻生,001-0045 北海道札幌市北区麻生町３丁目１０－１３　麻生ハヤシビル１階,https://www.au.com/storelocator/detail/?shopId=D-00004,43.110317,141.338598,ok
au,北海道,北海道,au Style 篠路,002-8023 北海道札幌市北区篠路３条４丁目１番３８号,https://www.au.com/storelocator/detail/?shopId=D-00144,43.144579,141.358338,ok
au,北海道,北海道,au Style 南郷７丁目,003-0022 北海道札幌市白石区南郷通7丁目南6-12,https://www.au.com/storelocator/detail/?shopId=D-00196,43.040198,141.410332,ok
au,北海道,北海道,au Style 南郷１８丁目,003-0022 北海道札幌市白石区南郷通１９丁目南１番１号,https://www.au.com/storelocator/detail/?shopId=D-00297,43.028814,141.435221,ok
au,北海道,北海道,au Style 西宮の沢,006-0004 北海道札幌市手稲区西宮の沢４条３丁目１－１２,https://www.au.com/storelocator/detail/?shopId=D-00287,43.101263,141.258719,ok
au,北海道,北海道,au Style 函館ポールスター,041-0821 北海道函館市港町１丁目２－１ポールスターショッピングセンター内,https://www.au.com/storelocator/detail/?shopId=D-00285,41.802327,140.731829,ok
au,北海道,北海道,au Style 日吉（北海道）,041-0841 北海道函館市日吉町1丁目14-11,https://www.au.com/storelocator/detail/?shopId=D-00198,41.788822,140.787112,ok
au,北海道,北海道,au Style 中道,041-0853 北海道函館市中道２丁目　11-2,https://www.au.com/storelocator/detail/?shopId=D-00044,41.806224,140.761179,ok
au,北海道,北海道,au Style イオン上磯,049-0111 北海道北斗市七重浜４丁目４４番１号　　イオン上磯店 １F,https://www.au.com/storelocator/detail/?shopId=D-00312,41.821693,140.712208,ok
au,北海道,北海道,au Style 室蘭中島,050-0074 北海道室蘭市中島町１丁目２３－５,https://www.au.com/storelocator/detail/?shopId=D-00048,42.354774,141.018024,ok
au,北海道,北海道,au Style 苫小牧西,053-0822 北海道苫小牧市川沿町６丁目２０－１１,https://www.au.com/storelocator/detail/?shopId=D-00095,42.623740,141.530834,ok
au,北海道,北海道,au Style 札幌駅前通,060-0003 北海道札幌市中央区北3条西4丁目1-1日本生命札幌ビル1F,https://www.au.com/storelocator/detail/?shopId=D-00098,43.065094,141.350666,ok
au,北海道,北海道,au Style 北広島,061-1121 北海道北広島市中央３－２－３,https://www.au.com/storelocator/detail/?shopId=D-00005,42.987306,141.564113,ok
