キャリア,地域,都道府県,店名,住所,URL
au,北陸・甲信越,福井県,au Style アル・プラザアミ,919-0413 福井県坂井市春江町随応寺16-11　アル・プラザアミ1F,https://www.au.com/storelocator/detail/?shopId=H-00082
au,北陸・甲信越,福井県,au Style ピアゴ丸岡,910-0254 福井県坂井市丸岡町一本田弐字小深町１１－３　ピアゴ丸岡店１Ｆ,https://www.au.com/storelocator/detail/?shopId=H-00149
au,北陸・甲信越,福井県,au Style ベル,918-8015 福井県福井市花堂南２－１６－１,https://www.au.com/storelocator/detail/?shopId=H-00094
au,北陸・甲信越,福井県,au Style やしろ,918-8045 福井県福井市福新町１９１２－１,https://www.au.com/storelocator/detail/?shopId=H-00090
au,北陸・甲信越,福井県,au Style 越前芝原,915-0805 福井県越前市芝原３丁目４番２１号,https://www.au.com/storelocator/detail/?shopId=H-00086
au,北陸・甲信越,福井県,au Style 開発,910-0842 福井県福井市開発５－１１２２,https://www.au.com/storelocator/detail/?shopId=H-00157
au,北陸・甲信越,福井県,au Style 敦賀,914-0812 福井県敦賀市昭和町２－２２－３８,https://www.au.com/storelocator/detail/?shopId=H-00085
au,北陸・甲信越,福井県,ａｕショップ エルパ,910-0802 福井県福井市大和田２－１２１２　ショッピングモールエルパ内,https://www.au.com/storelocator/detail/?shopId=H-00159
au,北陸・甲信越,福井県,ａｕショップ 鯖江,916-0028 福井県鯖江市小黒町１－１２－９,https://www.au.com/storelocator/detail/?shopId=H-00091
au,北陸・甲信越,福井県,ａｕショップ 小浜,917-0026 福井県小浜市多田７号野本４番,https://www.au.com/storelocator/detail/?shopId=H-00088
au,北陸・甲信越,福井県,ａｕショップ 大宮（福井県）,910-0015 福井県福井市二の宮５－１－３,https://www.au.com/storelocator/detail/?shopId=H-00080
au,北陸・甲信越,福井県,ａｕショップ 大野,912-0016 福井県大野市友江１３－４－４,https://www.au.com/storelocator/detail/?shopId=H-00083
docomo,北陸,福井県,ドコモショップあわら店,919-0628 福井県あわら市大溝2-35-7,https://shop.smt.docomo.ne.jp/shop_detail/0501500318900/index.html
docomo,北陸,福井県,ドコモショップえちぜん店,915-0091 福井県越前市高木町３７字1-4,https://shop.smt.docomo.ne.jp/shop_detail/0501500281200/index.html
docomo,北陸,福井県,ドコモショップエルパ店,910-0836 福井県福井市大和田２丁目1212 ラブリーパートナーエルパ,https://shop.smt.docomo.ne.jp/shop_detail/0501500400800/index.html
docomo,北陸,福井県,ドコモショップさばえ店,916-0029 福井県鯖江市北野町7-14,https://shop.smt.docomo.ne.jp/shop_detail/0501500361200/index.html
docomo,北陸,福井県,ドコモショップ学園店（福井県）,910-0026 福井県福井市光陽3-26,https://shop.smt.docomo.ne.jp/shop_detail/0501500330000/index.html
docomo,北陸,福井県,ドコモショップ社南店,918-8031 福井県福井市種池1-106,https://shop.smt.docomo.ne.jp/shop_detail/0501500363200/index.html
docomo,北陸,福井県,ドコモショップ若杉店,918-8055 福井県福井市若杉4-1613,https://shop.smt.docomo.ne.jp/shop_detail/0501500313600/index.html
docomo,北陸,福井県,ドコモショップ春江店,919-0416 福井県坂井市春江町江留下宇和江46,https://shop.smt.docomo.ne.jp/shop_detail/0573003023400/index.html
docomo,北陸,福井県,ドコモショップ勝山店,911-0804 福井県勝山市元町7-28,https://shop.smt.docomo.ne.jp/shop_detail/0501500343100/index.html
docomo,北陸,福井県,ドコモショップ小浜店（福井県）,917-0241 福井県小浜市遠敷24-38-2,https://shop.smt.docomo.ne.jp/shop_detail/0573003007300/index.html
