キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,東北,福島県,au Style イオンタウン郡山,963-8812 福島県郡山市松木町２－８８　　　イオンタウン郡山　おしゃれ館　　,https://www.au.com/storelocator/detail/?shopId=T-00399,37.390104,140.388980,ok
au,東北,福島県,au Style いわき鹿島,971-8144 福島県いわき市鹿島町久保１－５－１７,https://www.au.com/storelocator/detail/?shopId=T-00222,36.991198,140.905865,ok
au,東北,福島県,au Style 会津,965-0818 福島県会津若松市東千石2丁目1－3,https://www.au.com/storelocator/detail/?shopId=T-00087,37.498045,139.943358,ok
au,東北,福島県,au Style 会津南,965-0848 福島県会津若松市飯寺北三丁目14-16,https://www.au.com/storelocator/detail/?shopId=T-00300,37.479910,139.902332,ok
au,東北,福島県,au Style 喜多方,966-0056 福島県喜多方市屋敷免３９６０－１,https://www.au.com/storelocator/detail/?shopId=T-00086,37.648768,139.882967,ok
au,東北,福島県,au Style 郷野目,960-8161 福島県福島市郷野目字師々田２－２,https://www.au.com/storelocator/detail/?shopId=T-00047,37.734241,140.460229,ok
au,東北,福島県,au Style 植田,974-8223 福島県いわき市佐糠町碇田３９－１,https://www.au.com/storelocator/detail/?shopId=T-00048,36.917663,140.804050,ok
au,東北,福島県,au Style 須賀川イオンタウン,962-0852 福島県須賀川市仲の町８４ イオンタウン,https://www.au.com/storelocator/detail/?shopId=T-00304,37.296714,140.384214,ok
au,東北,福島県,au Style 二本松,964-0807 福島県二本松市金色久保２２７－８,https://www.au.com/storelocator/detail/?shopId=T-00046,37.583784,140.432887,ok
au,東北,福島県,au Style 富久山,963-8052 福島県郡山市八山田２－１７７－１,https://www.au.com/storelocator/detail/?shopId=T-00139,37.429260,140.374406,ok
au,東北,福島県,au Style 福島西,960-8254 福島県福島市南沢又字中琵琶渕２９－２,https://www.au.com/storelocator/detail/?shopId=T-00297,37.770798,140.438933,ok
