キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,近畿,兵庫県,au Style SANNOMIYA,650-0021 兵庫県神戸市中央区三宮町１－８－１　さんプラザビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00056,34.691839,135.193200,ok
au,近畿,兵庫県,au Style あまがさきキューズモール,661-0976 兵庫県尼崎市潮江１－３－１　あまがさきキューズモール3Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00223,34.733134,135.431274,ok
au,近畿,兵庫県,au Style つかしん,661-0001 兵庫県尼崎市塚口本町４－８－１　つかしんひがしまち南館３Ｆ　　　,https://www.au.com/storelocator/detail/?shopId=K-00828,34.761379,135.419503,ok
au,近畿,兵庫県,au Style ニッケパークタウン,675-0066 兵庫県加古川市加古川町寺家町１７３－１　　ニッケパークタウン１Ｆ　　,https://www.au.com/storelocator/detail/?shopId=K-00830,34.769048,134.836352,ok
au,近畿,兵庫県,au Style 芦屋,659-0061 兵庫県芦屋市上宮川町９番１１号,https://www.au.com/storelocator/detail/?shopId=K-00550,34.733371,135.310637,ok
au,近畿,兵庫県,au Style 伊丹市役所前,664-0014 兵庫県伊丹市広畑２－５６－１,https://www.au.com/storelocator/detail/?shopId=K-00240,34.785248,135.400230,ok
au,近畿,兵庫県,au Style 押部谷,651-2212 兵庫県神戸市西区押部谷町押部５１７－１,https://www.au.com/storelocator/detail/?shopId=K-00734,34.755982,135.043747,ok
au,近畿,兵庫県,au Style 岡場,651-1313 兵庫県神戸市北区有野中町１－１８－３９,https://www.au.com/storelocator/detail/?shopId=K-00638,34.823031,135.224360,ok
au,近畿,兵庫県,au Style 御影クラッセ,658-0054 兵庫県神戸市東灘区御影中町３－２－１　御影クラッセ２階,https://www.au.com/storelocator/detail/?shopId=K-00782,34.715494,135.255574,ok
au,近畿,兵庫県,au Style 甲南山手,658-0012 兵庫県神戸市東灘区本庄町１－１３－１５,https://www.au.com/storelocator/detail/?shopId=K-00230,34.728067,135.292455,ok
au,近畿,兵庫県,au Style 阪急西宮ガーデンズ,663-8204 兵庫県西宮市高松町１４－２番５Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00549,34.744286,135.358977,ok
au,近畿,兵庫県,au Style 三田ウッディタウン,669-1322 兵庫県三田市すずかけ台３－２,https://www.au.com/storelocator/detail/?shopId=K-00617,34.903329,135.190407,ok
au,近畿,兵庫県,au Style 西宮門戸,663-8017 兵庫県西宮市大島町６－６,https://www.au.com/storelocator/detail/?shopId=K-00620,34.762673,135.367681,ok
au,近畿,兵庫県,au Style 川西加茂,666-0025 兵庫県川西市加茂6-1-20,https://www.au.com/storelocator/detail/?shopId=K-00792,34.813646,135.411497,ok
au,近畿,兵庫県,au Style 塚口,661-0012 兵庫県尼崎市南塚口町２－１５－１０　ＭＹＴビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00204,34.751401,135.417405,ok
au,近畿,兵庫県,au Style 塚口北,661-0002 兵庫県尼崎市塚口町２-３５-１０,https://www.au.com/storelocator/detail/?shopId=K-00226,34.758714,135.411907,ok
au,近畿,兵庫県,au Style 尼崎下坂部,661-0975 兵庫県尼崎市下坂部３丁目５－２０,https://www.au.com/storelocator/detail/?shopId=K-00239,34.743473,135.438797,ok
au,近畿,兵庫県,au Style 福崎,679-2203 兵庫県神崎郡福崎町南田原３０９４－１,https://www.au.com/storelocator/detail/?shopId=K-00249,34.950131,134.757676,ok
au,近畿,兵庫県,au Style 豊岡バイパス,668-0805 兵庫県豊岡市船町２９５－１,https://www.au.com/storelocator/detail/?shopId=K-00242,35.553791,134.816250,ok
au,近畿,兵庫県,au Style 和田山,669-5213 兵庫県朝来市和田山町玉置１０７０－３,https://www.au.com/storelocator/detail/?shopId=K-00219,35.332792,134.862284,ok
au,近畿,兵庫県,ａｕショップ ＪＲ神戸北,650-0027 兵庫県神戸市中央区中町通２－３－２　三共神戸ツインビル1Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00318,34.679626,135.176072,ok
au,近畿,兵庫県,ａｕショップ ＪＲ六甲道,657-0037 兵庫県神戸市灘区備後町４－１－１　ウェルブ六甲道三番街1F,https://www.au.com/storelocator/detail/?shopId=K-00562,34.713368,135.239865,ok
au,近畿,兵庫県,ａｕショップ イオンタウン川西,666-0124 兵庫県川西市多田桜木１－４－１,https://www.au.com/storelocator/detail/?shopId=K-00456,34.855984,135.417636,ok
