キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,関東,茨城県,au Style イーアスつくば,305-0817 茨城県つくば市研究学園５丁目１９番地　イーアスつくば３Ｆ　,https://www.au.com/storelocator/detail/?shopId=E-01362,36.085959,140.083895,ok
au,関東,茨城県,au Style イオンモールつくば,305-0071 茨城県つくば市稲岡６６－１　イオンモールつくば2F,https://www.au.com/storelocator/detail/?shopId=E-00747,36.034960,140.133215,ok
au,関東,茨城県,au Style つくば研究学園,305-0816 茨城県つくば市学園の森１－１４－３,https://www.au.com/storelocator/detail/?shopId=E-01041,36.095069,140.075424,ok
au,関東,茨城県,au Style ピアシティ石岡,315-0001 茨城県石岡市石岡２２２２－２,https://www.au.com/storelocator/detail/?shopId=E-00521,36.194527,140.282794,ok
au,関東,茨城県,au Style フォレストモール常陸太田,313-0000 茨城県常陸太田市東部土地区画整理事業１街区１画地　103区画,https://www.au.com/storelocator/detail/?shopId=E-01204,36.542765,140.531853,ok
au,関東,茨城県,au Style 鹿嶋,314-0031 茨城県鹿嶋市宮中東山３１９－１,https://www.au.com/storelocator/detail/?shopId=E-00524,35.960503,140.642838,ok
au,関東,茨城県,au Style 常総水海道,303-0022 茨城県常総市水海道　淵頭町　2881-1,https://www.au.com/storelocator/detail/?shopId=E-01256,36.017672,139.994000,ok
au,関東,茨城県,au Style 総和,306-0221 茨城県古河市駒羽根６－１,https://www.au.com/storelocator/detail/?shopId=E-00527,36.172883,139.747882,ok
au,関東,茨城県,au Style 筑西,308-0847 茨城県筑西市玉戸１０１２－１８,https://www.au.com/storelocator/detail/?shopId=E-00526,36.295226,139.943596,ok
au,関東,茨城県,au Style 東海,319-1111 茨城県那珂郡東海村舟石川６１２－５,https://www.au.com/storelocator/detail/?shopId=E-00834,36.475202,140.552664,ok
au,関東,茨城県,ａｕショップ イオンタウン水戸南,311-3116 茨城県東茨城郡茨城町大字長岡３４８０－１０１　イオンタウン水戸南ショッピングセンター内,https://www.au.com/storelocator/detail/?shopId=E-00974,36.310774,140.441239,ok
au,関東,茨城県,ａｕショップ イオンモール水戸内原,319-0317 茨城県水戸市内原２－１イオンモール水戸内原２階,https://www.au.com/storelocator/detail/?shopId=E-00777,36.374745,140.359322,ok
au,関東,茨城県,ａｕショップ イオンモール土浦,300-0811 茨城県土浦市上高津３６７,https://www.au.com/storelocator/detail/?shopId=E-01123,36.080154,140.180980,ok
au,関東,茨城県,ａｕショップ ジョイフル本田荒川沖,300-0843 茨城県土浦市中村南３－３－４５,https://www.au.com/storelocator/detail/?shopId=E-01020,36.037321,140.165367,ok
au,関東,茨城県,ａｕショップ ひたちなか,312-0011 茨城県ひたちなか市中根３３２５－３,https://www.au.com/storelocator/detail/?shopId=E-00535,36.396792,140.552109,ok
