キャリア,地域,都道府県,店名,住所,URL
au,関東,茨城県,au Style イーアスつくば,305-0817 茨城県つくば市研究学園５丁目１９番地　イーアスつくば３Ｆ　,https://www.au.com/storelocator/detail/?shopId=E-01362
au,関東,茨城県,au Style イオンモールつくば,305-0071 茨城県つくば市稲岡６６－１　イオンモールつくば2F,https://www.au.com/storelocator/detail/?shopId=E-00747
au,関東,茨城県,au Style つくば研究学園,305-0816 茨城県つくば市学園の森１－１４－３,https://www.au.com/storelocator/detail/?shopId=E-01041
au,関東,茨城県,au Style ピアシティ石岡,315-0001 茨城県石岡市石岡２２２２－２,https://www.au.com/storelocator/detail/?shopId=E-00521
au,関東,茨城県,au Style フォレストモール常陸太田,313-0000 茨城県常陸太田市東部土地区画整理事業１街区１画地　103区画,https://www.au.com/storelocator/detail/?shopId=E-01204
au,関東,茨城県,au Style 鹿嶋,314-0031 茨城県鹿嶋市宮中東山３１９－１,https://www.au.com/storelocator/detail/?shopId=E-00524
au,関東,茨城県,au Style 常総水海道,303-0022 茨城県常総市水海道　淵頭町　2881-1,https://www.au.com/storelocator/detail/?shopId=E-01256
au,関東,茨城県,au Style 総和,306-0221 茨城県古河市駒羽根６－１,https://www.au.com/storelocator/detail/?shopId=E-00527
au,関東,茨城県,au Style 筑西,308-0847 茨城県筑西市玉戸１０１２－１８,https://www.au.com/storelocator/detail/?shopId=E-00526
au,関東,茨城県,au Style 東海,319-1111 茨城県那珂郡東海村舟石川６１２－５,https://www.au.com/storelocator/detail/?shopId=E-00834
au,関東,茨城県,ａｕショップ イオンタウン水戸南,311-3116 茨城県東茨城郡茨城町大字長岡３４８０－１０１　イオンタウン水戸南ショッピングセンター内,https://www.au.com/storelocator/detail/?shopId=E-00974
au,関東,茨城県,ａｕショップ イオンモール水戸内原,319-0317 茨城県水戸市内原２－１イオンモール水戸内原２階,https://www.au.com/storelocator/detail/?shopId=E-00777
au,関東,茨城県,ａｕショップ イオンモール土浦,300-0811 茨城県土浦市上高津３６７,https://www.au.com/storelocator/detail/?shopId=E-01123
au,関東,茨城県,ａｕショップ ジョイフル本田荒川沖,300-0843 茨城県土浦市中村南３－３－４５,https://www.au.com/storelocator/detail/?shopId=E-01020
au,関東,茨城県,ａｕショップ ひたちなか,312-0011 茨城県ひたちなか市中根３３２５－３,https://www.au.com/storelocator/detail/?shopId=E-00535
au,関東,茨城県,ａｕショップ ひたち大宮,319-2265 茨城県常陸大宮市中富町９８８－３,https://www.au.com/storelocator/detail/?shopId=E-00538
au,関東,茨城県,ａｕショップ ひたち野うしく,300-1207 茨城県牛久市ひたち野東４－２７－１,https://www.au.com/storelocator/detail/?shopId=E-00726
au,関東,茨城県,ａｕショップ ファッションクルーズひたちなか,312-0005 茨城県ひたちなか市新光町３４－１,https://www.au.com/storelocator/detail/?shopId=E-01175
au,関東,茨城県,ａｕショップ みらい平,300-2359 茨城県つくばみらい市紫峰ヶ丘　１－１－２,https://www.au.com/storelocator/detail/?shopId=E-00957
au,関東,茨城県,ａｕショップ 下妻,304-0056 茨城県下妻市長塚9-3,https://www.au.com/storelocator/detail/?shopId=E-00515
au,関東,茨城県,ａｕショップ 境,306-0433 茨城県猿島郡境町２１３－５,https://www.au.com/storelocator/detail/?shopId=E-00519
au,関東,茨城県,ａｕショップ 古河１２５号,306-0233 茨城県古河市西牛谷１０１７－４,https://www.au.com/storelocator/detail/?shopId=E-01247
au,関東,茨城県,ａｕショップ 高萩,318-0021 茨城県高萩市大字安良川字柳町195番地１,https://www.au.com/storelocator/detail/?shopId=E-00536
au,関東,茨城県,ａｕショップ 取手市役所前,302-0021 茨城県取手市寺田字原谷　５２０３－１,https://www.au.com/storelocator/detail/?shopId=E-00325
au,関東,茨城県,ａｕショップ 守谷,302-0128 茨城県守谷市けやき台５－９－６,https://www.au.com/storelocator/detail/?shopId=E-00520
au,関東,茨城県,ａｕショップ 神栖,314-0144 茨城県神栖市大野原３－３８８－１８,https://www.au.com/storelocator/detail/?shopId=E-00537
au,関東,茨城県,ａｕショップ 水戸さくら通り,310-0836 茨城県水戸市元吉田町１０１２－３,https://www.au.com/storelocator/detail/?shopId=E-01190
au,関東,茨城県,ａｕショップ 水戸見川,310-0912 茨城県水戸市見川２丁目－７５－１,https://www.au.com/storelocator/detail/?shopId=E-00725
au,関東,茨城県,ａｕショップ 潮来,311-2448 茨城県潮来市須賀２９６２－３,https://www.au.com/storelocator/detail/?shopId=E-01202
au,関東,茨城県,ａｕショップ 土浦高津,300-0815 茨城県土浦市中高津１－１４－１,https://www.au.com/storelocator/detail/?shopId=E-00605
au,関東,茨城県,ａｕショップ 土浦北,300-0051 茨城県土浦市真鍋４－１８－２６,https://www.au.com/storelocator/detail/?shopId=E-00886
au,関東,茨城県,ａｕショップ 那珂,311-0110 茨城県那珂市竹ノ内１丁目５－１４,https://www.au.com/storelocator/detail/?shopId=E-01070
au,関東,茨城県,ａｕショップ 日立,317-0071 茨城県日立市鹿島町２－１６－２,https://www.au.com/storelocator/detail/?shopId=E-00534
au,関東,茨城県,ａｕショップ 日立南,316-0025 茨城県日立市森山町２－２４－１８,https://www.au.com/storelocator/detail/?shopId=E-01037
au,関東,茨城県,ａｕショップ 北茨城,319-1541 茨城県北茨城市磯原町磯原2-214,https://www.au.com/storelocator/detail/?shopId=E-00874
au,関東,茨城県,ａｕショップ 竜ヶ崎,301-0001 茨城県龍ヶ崎市久保台２丁目１－１２,https://www.au.com/storelocator/detail/?shopId=E-00539
docomo,関東,茨城県,ドコモショップイオンモール下妻店,304-0033 茨城県下妻市堀篭972-1 イオンモール下妻,https://shop.smt.docomo.ne.jp/shop_detail/0300306903500/index.html
docomo,関東,茨城県,ドコモショップイオンモール水戸内原店,319-0317 茨城県水戸市内原1-200,https://shop.smt.docomo.ne.jp/shop_detail/0300306631600/index.html
docomo,関東,茨城県,ドコモショップイオンモール土浦店,300-0811 茨城県土浦市上高津367 イオンモール土浦,https://shop.smt.docomo.ne.jp/shop_detail/0300306926900/index.html
docomo,関東,茨城県,ドコモショップシーサイドひたちなか店,312-0005 茨城県ひたちなか市新光町2-39,https://shop.smt.docomo.ne.jp/shop_detail/0300307186000/index.html
docomo,関東,茨城県,ドコモショップつくば研究学園店,305-0817 茨城県つくば市研究学園3-23-4,https://shop.smt.docomo.ne.jp/shop_detail/0300306903600/index.html
docomo,関東,茨城県,ドコモショップつくば谷田部店,305-0868 茨城県つくば市台町1-4,https://shop.smt.docomo.ne.jp/shop_detail/0300306818800/index.html
docomo,関東,茨城県,ドコモショップつくば店,305-0033 茨城県つくば市東新井3-24,https://shop.smt.docomo.ne.jp/shop_detail/0361131700100/index.html
docomo,関東,茨城県,ドコモショップつくば梅園店,305-0045 茨城県つくば市梅園2-25-24,https://shop.smt.docomo.ne.jp/shop_detail/0300307339700/index.html
docomo,関東,茨城県,ドコモショップひたちなか店,312-0018 茨城県ひたちなか市笹野町3-5,https://shop.smt.docomo.ne.jp/shop_detail/0300302173000/index.html
docomo,関東,茨城県,ドコモショップみらい平駅前店,300-2358 茨城県つくばみらい市陽光台7-2 ＳＴＡＴＩＯＮ　ＴＯＷＥＲ　ＴＯＹＯＳＨＩＭＡ,https://shop.smt.docomo.ne.jp/shop_detail/0300306833900/index.html
docomo,関東,茨城県,ドコモショップヨークタウン坂東店,306-0632 茨城県坂東市辺田1104-1,https://shop.smt.docomo.ne.jp/shop_detail/0300306191400/index.html
docomo,関東,茨城県,ドコモショップ稲敷店,300-0504 茨城県稲敷市江戸崎甲4836 江戸崎ショッピングセンター内,https://shop.smt.docomo.ne.jp/shop_detail/0300306840100/index.html
docomo,関東,茨城県,ドコモショップ下館店,308-0803 茨城県筑西市直井1180,https://shop.smt.docomo.ne.jp/shop_detail/0300306867600/index.html
docomo,関東,茨城県,ドコモショップ下妻店,304-0068 茨城県下妻市下妻丁399,https://shop.smt.docomo.ne.jp/shop_detail/0300306243200/index.html
