キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,北陸・甲信越,石川県,au Style アビオシティ加賀,922-0423 石川県加賀市作見町ル25-1　アビオシティ加賀1F,https://www.au.com/storelocator/detail/?shopId=H-00016,36.319759,136.352294,ok
au,北陸・甲信越,石川県,au Style イオンモール白山,921-8777 石川県白山市横江町5001番地イオンモール白山3F,https://www.au.com/storelocator/detail/?shopId=H-00008,36.544596,136.581745,ok
au,北陸・甲信越,石川県,au Style イオンもりの里,920-1184 石川県金沢市もりの里１丁目７０ イオンもりの里１F,https://www.au.com/storelocator/detail/?shopId=H-00003,36.551710,136.690012,ok
au,北陸・甲信越,石川県,au Style 久安,921-8164 石川県金沢市久安１－４８３,https://www.au.com/storelocator/detail/?shopId=H-00014,36.532663,136.631824,ok
au,北陸・甲信越,石川県,au Style 三口新町,920-0944 石川県金沢市三口新町４－２８－１,https://www.au.com/storelocator/detail/?shopId=H-00152,36.543157,136.678720,ok
au,北陸・甲信越,石川県,au Style 小松,923-0801 石川県小松市園町ハ１３４－１,https://www.au.com/storelocator/detail/?shopId=H-00012,36.405726,136.457796,ok
au,北陸・甲信越,石川県,au Style 石川県庁前,920-8202 石川県金沢市西都２丁目１番地,https://www.au.com/storelocator/detail/?shopId=H-00136,36.592210,136.625958,ok
au,北陸・甲信越,石川県,ａｕショップ アクロスプラザ野々市,921-8825 石川県野々市市三納１丁目７７番地　アクロスプラザ野々市,https://www.au.com/storelocator/detail/?shopId=H-00018,36.517943,136.608868,ok
au,北陸・甲信越,石川県,ａｕショップ アピタ松任,924-0817 石川県白山市幸明町２８０　アピタ松任１Ｆ,https://www.au.com/storelocator/detail/?shopId=H-00140,36.515853,136.576897,ok
au,北陸・甲信越,石川県,ａｕショップ イオンタウン金沢示野,920-0069 石川県金沢市戸板西１－５５　イオンタウン金沢示野ＳＣ内マックスバリュ棟,https://www.au.com/storelocator/detail/?shopId=H-00166,36.580140,136.616868,ok
au,北陸・甲信越,石川県,ａｕショップ イオンモールかほく,929-1198 石川県かほく市内日角夕－２５　イオンモールかほく２階,https://www.au.com/storelocator/detail/?shopId=H-00024,36.708988,136.701247,ok
au,北陸・甲信越,石川県,ａｕショップ イオンモール新小松,923-0862 石川県小松市清六町３１５番地　イオンモール新小松３階,https://www.au.com/storelocator/detail/?shopId=H-00191,36.394962,136.466914,ok
au,北陸・甲信越,石川県,ａｕショップ 羽咋,925-0027 石川県羽咋市鶴多町亀田58-1,https://www.au.com/storelocator/detail/?shopId=H-00029,36.895741,136.793010,ok
au,北陸・甲信越,石川県,ａｕショップ 金沢おこばた,920-0210 石川県金沢市大河端西２丁目３２－Ｂ,https://www.au.com/storelocator/detail/?shopId=H-00023,36.616965,136.640069,ok
au,北陸・甲信越,石川県,ａｕショップ 七尾,926-0816 石川県七尾市藤橋町戌６－３(ユニクロ様敷地内),https://www.au.com/storelocator/detail/?shopId=H-00009,37.038407,136.954680,ok
au,北陸・甲信越,石川県,ａｕショップ 輪島ワイプラザ,928-0022 石川県輪島市宅田町　４１番地　ワイプラザ輪島,https://www.au.com/storelocator/detail/?shopId=H-00192,37.385947,136.904683,ok
docomo,北陸,石川県,ドコモショップアビオシティ加賀店,922-0423 石川県加賀市作見町ル1-25,https://shop.smt.docomo.ne.jp/shop_detail/0501500347600/index.html,36.320023888889,136.352785,ok
docomo,北陸,石川県,ドコモショップアピタタウン金沢ベイ店,920-0333 石川県金沢市無量寺４丁目56 ピアゴ金沢ベイ店内,https://shop.smt.docomo.ne.jp/shop_detail/0571001041100/index.html,36.600040277778,136.61434388889,ok
docomo,北陸,石川県,ドコモショップアピタ松任店,924-0817 石川県白山市幸明町270 アピタ松任店,https://shop.smt.docomo.ne.jp/shop_detail/0501500352600/index.html,36.515803888889,136.57694833333,ok
docomo,北陸,石川県,ドコモショップイオンタウン金沢示野店,920-0069 石川県金沢市戸板西1-55 イオンタウン金沢示野ＳＣ　マックスバリュ棟内,https://shop.smt.docomo.ne.jp/shop_detail/0571010007800/index.html,36.581128888889,136.61709611111,ok
docomo,北陸,石川県,ドコモショップイオンモール白山店,924-8777 石川県白山市横江町5001 イオンモール白山,https://shop.smt.docomo.ne.jp/shop_detail/0501500329800/index.html,36.544499722222,136.58293,ok
docomo,北陸,石川県,ドコモショップイオンもりの里店,920-1167 石川県金沢市もりの里1-70 イオンもりの里ショッピングセンター,https://shop.smt.docomo.ne.jp/shop_detail/0571001066500/index.html,36.552133333333,136.68957166667,ok
docomo,北陸,石川県,ドコモショップかほく店（石川県）,929-1174 石川県かほく市浜北イ5-16,https://shop.smt.docomo.ne.jp/shop_detail/0501500358900/index.html,36.73319,136.700845,ok
docomo,北陸,石川県,ドコモショップ粟津店,923-0342 石川県小松市矢田野町ホ109,https://shop.smt.docomo.ne.jp/shop_detail/0571001062100/index.html,36.350300277778,136.4247425,ok
docomo,北陸,石川県,ドコモショップ羽咋店,925-0026 石川県羽咋市石野町ホ38,https://shop.smt.docomo.ne.jp/shop_detail/0501500174800/index.html,36.894371666667,136.79683861111,ok
docomo,北陸,石川県,ドコモショップ加賀店,922-0241 石川県加賀市加茂町116-1,https://shop.smt.docomo.ne.jp/shop_detail/0501500228700/index.html,36.307205,136.35757444444,ok
docomo,北陸,石川県,ドコモショップ金沢おこばた店,920-0210 石川県金沢市大河端西2-43,https://shop.smt.docomo.ne.jp/shop_detail/0501500237900/index.html,36.617301111111,136.63978305556,ok
docomo,北陸,石川県,ドコモショップ金沢駅前店,920-0853 石川県金沢市本町2-15-1 ポルテ金沢,https://shop.smt.docomo.ne.jp/shop_detail/0501500341000/index.html,36.57634,136.64943277778,ok
docomo,北陸,石川県,ドコモショップ穴水店,927-0053 石川県鳳珠郡穴水町此木１１字3-14,https://shop.smt.docomo.ne.jp/shop_detail/0501500236300/index.html,37.244520277778,136.89917833333,ok
docomo,北陸,石川県,ドコモショップ志賀店,925-0154 石川県羽咋郡志賀町末吉千古1-12,https://shop.smt.docomo.ne.jp/shop_detail/0501500389400/index.html,37.006113055556,136.77805638889,ok
docomo,北陸,石川県,ドコモショップ鹿島店（石川県）,929-1721 石川県鹿島郡中能登町井田と部1-1,https://shop.smt.docomo.ne.jp/shop_detail/0501500393100/index.html,36.970126944444,136.9077825,ok
docomo,北陸,石川県,ドコモショップ七尾店,926-0028 石川県七尾市藤野町ロ38 ナッピィモール内,https://shop.smt.docomo.ne.jp/shop_detail/0571001066300/index.html,37.030868055556,136.96838,ok
docomo,北陸,石川県,ドコモショップ珠洲店,927-1213 石川県珠洲市野々江町シ部1-70,https://shop.smt.docomo.ne.jp/shop_detail/0501500389500/index.html,37.441134722222,137.26905,ok
docomo,北陸,石川県,ドコモショップ小松沖町店,923-0861 石川県小松市沖町471,https://shop.smt.docomo.ne.jp/shop_detail/0501500366500/index.html,36.396127777778,136.46306888889,ok
docomo,北陸,石川県,ドコモショップ小松店,923-0036 石川県小松市平面町カ127-1,https://shop.smt.docomo.ne.jp/shop_detail/0571001066400/index.html,36.418083333333,136.47270277778,ok
docomo,北陸,石川県,ドコモショップ津幡店,929-0341 石川県河北郡津幡町字横浜ほ1-17,https://shop.smt.docomo.ne.jp/shop_detail/0501500347900/index.html,36.664746944444,136.72897805556,ok
docomo,北陸,石川県,ドコモショップ東金沢店,920-0809 石川県金沢市三池栄町320,https://shop.smt.docomo.ne.jp/shop_detail/0501500174300/index.html,36.596963055556,136.66974638889,ok
docomo,北陸,石川県,ドコモショップ入江店,921-8015 石川県金沢市東力４丁目236,https://shop.smt.docomo.ne.jp/shop_detail/0501500188100/index.html,36.565437777778,136.62274333333,ok
docomo,北陸,石川県,ドコモショップ野々市新庄店,921-8835 石川県野々市市上林4-368,https://shop.smt.docomo.ne.jp/shop_detail/0501500172000/index.html,36.506531944444,136.606685,ok
docomo,北陸,石川県,ドコモショップ野々市本町店,921-8815 石川県野々市市本町6-14-23,https://shop.smt.docomo.ne.jp/shop_detail/0501500280200/index.html,36.534722222222,136.60958333333,ok
docomo,北陸,石川県,ドコモショップ有松店,921-8161 石川県金沢市有松4-13-5,https://shop.smt.docomo.ne.jp/shop_detail/0571010024100/index.html,36.538658333333,136.63621111111,ok
docomo,北陸,石川県,ドコモショップ輪島店,928-0022 石川県輪島市宅田町42 ワイプラザ輪島店,https://shop.smt.docomo.ne.jp/shop_detail/0501500361400/index.html,37.386400555556,136.90476277778,ok
softbank,甲信越,石川県,ソフトバンク アクロスプラザ野々市,石川県野々市市三納１丁目１４４番地　アクロスプラザ内,https://www.softbank.jp/shop/search/detail/R214/,36.516422,136.6098,ok
softbank,甲信越,石川県,ソフトバンク アピタ金沢,石川県金沢市中村町１０番２０号,https://www.softbank.jp/shop/search/detail/R241/,36.559555,136.64261,ok
softbank,甲信越,石川県,ソフトバンク アピタ松任,石川県白山市幸明町２８０アピタ松任１Ｆ,https://www.softbank.jp/shop/search/detail/RA00/,36.515846,136.57704,ok
softbank,甲信越,石川県,ソフトバンク イオンタウン羽咋,石川県羽咋市石野町イ７　イオンタウンショッピングセンター内,https://www.softbank.jp/shop/search/detail/R225/,36.894855,136.80199,ok
softbank,甲信越,石川県,ソフトバンク イオンタウン金沢示野,石川県金沢市戸板西２丁目７番地,https://www.softbank.jp/shop/search/detail/R232/,36.58052,136.6149,ok
softbank,甲信越,石川県,ソフトバンク イオンモールかほく,石川県かほく市内日角タ‐２５　イオンかほく（２Ｆ）,https://www.softbank.jp/shop/search/detail/R249/,36.709015,136.70126,ok
softbank,甲信越,石川県,ソフトバンク イオンモール新小松,石川県小松市清六町３１５番地　イオンモール新小松３階,https://www.softbank.jp/shop/search/detail/R213/,36.395035,136.46718,ok
softbank,甲信越,石川県,ソフトバンク イオンモール白山,石川県白山市横江町土地区画整理事業施行地区内１街区イオンモール白山３Ｆ,https://www.softbank.jp/shop/search/detail/RA06/,36.54419,136.58145,ok
softbank,甲信越,石川県,ソフトバンク イオン金沢,石川県金沢市福久２丁目５８番地　イオン金沢内１Ｆ,https://www.softbank.jp/shop/search/detail/R226/,36.617268,136.68138,ok
softbank,甲信越,石川県,ソフトバンク プラント‐３川北,石川県能美郡川北町字朝日６３　プラント３川北店内,https://www.softbank.jp/shop/search/detail/R229/,36.46896,136.5,ok
softbank,甲信越,石川県,ソフトバンク ベイモール七尾,石川県七尾市小島町大開地１番７８,https://www.softbank.jp/shop/search/detail/R233/,37.05292,136.95625,ok
softbank,甲信越,石川県,ソフトバンク ラスパ白山,石川県白山市倉光５丁目１４番,https://www.softbank.jp/shop/search/detail/R239/,36.51619,136.5659,ok
softbank,甲信越,石川県,ソフトバンク 加賀,石川県加賀市小菅波町２丁目３６,https://www.softbank.jp/shop/search/detail/R206/,36.317036,136.34743,ok
softbank,甲信越,石川県,ソフトバンク 笠舞,石川県金沢市笠舞１丁目１１‐３０　シルクハウス１Ｆ,https://www.softbank.jp/shop/search/detail/R211/,36.547436,136.67346,ok
softbank,甲信越,石川県,ソフトバンク 金沢おこばた,石川県金沢市大河端西２丁目３１‐４７,https://www.softbank.jp/shop/search/detail/R245/,36.616997,136.6402,ok
softbank,甲信越,石川県,ソフトバンク 金沢ベイ,石川県金沢市無量寺４丁目５６番地　アピタタウン金沢ベイＡ棟ー１,https://www.softbank.jp/shop/search/detail/R208/,36.600136,136.61444,ok
softbank,甲信越,石川県,ソフトバンク 金沢県庁前,石川県金沢市戸水１丁目４３９,https://www.softbank.jp/shop/search/detail/R246/,36.60131,136.62129,ok
softbank,甲信越,石川県,ソフトバンク 金沢工大前,石川県野々市市高橋町３０４,https://www.softbank.jp/shop/search/detail/R228/,36.529877,136.63031,ok
softbank,甲信越,石川県,ソフトバンク 御経塚,石川県金沢市八日市３丁目５７９,https://www.softbank.jp/shop/search/detail/R204/,36.547424,136.6032,ok
softbank,甲信越,石川県,ソフトバンク 小松有明,石川県小松市有明町９５‐２,https://www.softbank.jp/shop/search/detail/R240/,36.398426,136.4569,ok
softbank,甲信越,石川県,ソフトバンク 杜の里,石川県金沢市もりの里２丁目１６５番,https://www.softbank.jp/shop/search/detail/R207/,36.55509,136.68552,ok
softbank,甲信越,石川県,ソフトバンク 入江,石川県金沢市入江２丁目１８０,https://www.softbank.jp/shop/search/detail/RA04/,36.564323,136.62817,ok
softbank,甲信越,石川県,ソフトバンク 北安江,石川県金沢市北安江４丁目１０‐３２,https://www.softbank.jp/shop/search/detail/R216/,36.586918,136.64778,ok
softbank,甲信越,石川県,ソフトバンク 鳴和,石川県金沢市鳴和１丁目１３‐１,https://www.softbank.jp/shop/search/detail/R222/,36.585533,136.6738,ok
softbank,甲信越,石川県,ソフトバンク 野々市中央,石川県野々市市若松町２２‐７,https://www.softbank.jp/shop/search/detail/R224/,36.533913,136.61452,ok
softbank,甲信越,石川県,ソフトバンク 有松,石川県金沢市有松３丁目６‐３０,https://www.softbank.jp/shop/search/detail/R219/,36.539825,136.63974,ok
