キャリア,地域,都道府県,店名,住所,URL
au,北陸・甲信越,石川県,au Style アビオシティ加賀,922-0423 石川県加賀市作見町ル25-1　アビオシティ加賀1F,https://www.au.com/storelocator/detail/?shopId=H-00016
au,北陸・甲信越,石川県,au Style イオンモール白山,921-8777 石川県白山市横江町5001番地イオンモール白山3F,https://www.au.com/storelocator/detail/?shopId=H-00008
au,北陸・甲信越,石川県,au Style イオンもりの里,920-1184 石川県金沢市もりの里１丁目７０ イオンもりの里１F,https://www.au.com/storelocator/detail/?shopId=H-00003
au,北陸・甲信越,石川県,au Style 久安,921-8164 石川県金沢市久安１－４８３,https://www.au.com/storelocator/detail/?shopId=H-00014
au,北陸・甲信越,石川県,au Style 三口新町,920-0944 石川県金沢市三口新町４－２８－１,https://www.au.com/storelocator/detail/?shopId=H-00152
au,北陸・甲信越,石川県,au Style 小松,923-0801 石川県小松市園町ハ１３４－１,https://www.au.com/storelocator/detail/?shopId=H-00012
au,北陸・甲信越,石川県,au Style 石川県庁前,920-8202 石川県金沢市西都２丁目１番地,https://www.au.com/storelocator/detail/?shopId=H-00136
au,北陸・甲信越,石川県,ａｕショップ アクロスプラザ野々市,921-8825 石川県野々市市三納１丁目７７番地　アクロスプラザ野々市,https://www.au.com/storelocator/detail/?shopId=H-00018
au,北陸・甲信越,石川県,ａｕショップ アピタ松任,924-0817 石川県白山市幸明町２８０　アピタ松任１Ｆ,https://www.au.com/storelocator/detail/?shopId=H-00140
au,北陸・甲信越,石川県,ａｕショップ イオンタウン金沢示野,920-0069 石川県金沢市戸板西１－５５　イオンタウン金沢示野ＳＣ内マックスバリュ棟,https://www.au.com/storelocator/detail/?shopId=H-00166
au,北陸・甲信越,石川県,ａｕショップ イオンモールかほく,929-1198 石川県かほく市内日角夕－２５　イオンモールかほく２階,https://www.au.com/storelocator/detail/?shopId=H-00024
au,北陸・甲信越,石川県,ａｕショップ イオンモール新小松,923-0862 石川県小松市清六町３１５番地　イオンモール新小松３階,https://www.au.com/storelocator/detail/?shopId=H-00191
au,北陸・甲信越,石川県,ａｕショップ 羽咋,925-0027 石川県羽咋市鶴多町亀田58-1,https://www.au.com/storelocator/detail/?shopId=H-00029
au,北陸・甲信越,石川県,ａｕショップ 金沢おこばた,920-0210 石川県金沢市大河端西２丁目３２－Ｂ,https://www.au.com/storelocator/detail/?shopId=H-00023
au,北陸・甲信越,石川県,ａｕショップ 七尾,926-0816 石川県七尾市藤橋町戌６－３(ユニクロ様敷地内),https://www.au.com/storelocator/detail/?shopId=H-00009
au,北陸・甲信越,石川県,ａｕショップ 輪島ワイプラザ,928-0022 石川県輪島市宅田町　４１番地　ワイプラザ輪島,https://www.au.com/storelocator/detail/?shopId=H-00192
docomo,北陸,石川県,ドコモショップアビオシティ加賀店,922-0423 石川県加賀市作見町ル1-25,https://shop.smt.docomo.ne.jp/shop_detail/0501500347600/index.html
docomo,北陸,石川県,ドコモショップアピタタウン金沢ベイ店,920-0333 石川県金沢市無量寺４丁目56 ピアゴ金沢ベイ店内,https://shop.smt.docomo.ne.jp/shop_detail/0571001041100/index.html
docomo,北陸,石川県,ドコモショップアピタ松任店,924-0817 石川県白山市幸明町270 アピタ松任店,https://shop.smt.docomo.ne.jp/shop_detail/0501500352600/index.html
docomo,北陸,石川県,ドコモショップイオンタウン金沢示野店,920-0069 石川県金沢市戸板西1-55 イオンタウン金沢示野ＳＣ　マックスバリュ棟内,https://shop.smt.docomo.ne.jp/shop_detail/0571010007800/index.html
docomo,北陸,石川県,ドコモショップイオンモール白山店,924-8777 石川県白山市横江町5001 イオンモール白山,https://shop.smt.docomo.ne.jp/shop_detail/0501500329800/index.html
docomo,北陸,石川県,ドコモショップイオンもりの里店,920-1167 石川県金沢市もりの里1-70 イオンもりの里ショッピングセンター,https://shop.smt.docomo.ne.jp/shop_detail/0571001066500/index.html
docomo,北陸,石川県,ドコモショップかほく店（石川県）,929-1174 石川県かほく市浜北イ5-16,https://shop.smt.docomo.ne.jp/shop_detail/0501500358900/index.html
docomo,北陸,石川県,ドコモショップ粟津店,923-0342 石川県小松市矢田野町ホ109,https://shop.smt.docomo.ne.jp/shop_detail/0571001062100/index.html
docomo,北陸,石川県,ドコモショップ羽咋店,925-0026 石川県羽咋市石野町ホ38,https://shop.smt.docomo.ne.jp/shop_detail/0501500174800/index.html
docomo,北陸,石川県,ドコモショップ加賀店,922-0241 石川県加賀市加茂町116-1,https://shop.smt.docomo.ne.jp/shop_detail/0501500228700/index.html
docomo,北陸,石川県,ドコモショップ金沢おこばた店,920-0210 石川県金沢市大河端西2-43,https://shop.smt.docomo.ne.jp/shop_detail/0501500237900/index.html
docomo,北陸,石川県,ドコモショップ金沢駅前店,920-0853 石川県金沢市本町2-15-1 ポルテ金沢,https://shop.smt.docomo.ne.jp/shop_detail/0501500341000/index.html
docomo,北陸,石川県,ドコモショップ穴水店,927-0053 石川県鳳珠郡穴水町此木１１字3-14,https://shop.smt.docomo.ne.jp/shop_detail/0501500236300/index.html
docomo,北陸,石川県,ドコモショップ志賀店,925-0154 石川県羽咋郡志賀町末吉千古1-12,https://shop.smt.docomo.ne.jp/shop_detail/0501500389400/index.html
docomo,北陸,石川県,ドコモショップ鹿島店（石川県）,929-1721 石川県鹿島郡中能登町井田と部1-1,https://shop.smt.docomo.ne.jp/shop_detail/0501500393100/index.html
docomo,北陸,石川県,ドコモショップ七尾店,926-0028 石川県七尾市藤野町ロ38 ナッピィモール内,https://shop.smt.docomo.ne.jp/shop_detail/0571001066300/index.html
docomo,北陸,石川県,ドコモショップ珠洲店,927-1213 石川県珠洲市野々江町シ部1-70,https://shop.smt.docomo.ne.jp/shop_detail/0501500389500/index.html
docomo,北陸,石川県,ドコモショップ小松沖町店,923-0861 石川県小松市沖町471,https://shop.smt.docomo.ne.jp/shop_detail/0501500366500/index.html
docomo,北陸,石川県,ドコモショップ小松店,923-0036 石川県小松市平面町カ127-1,https://shop.smt.docomo.ne.jp/shop_detail/0571001066400/index.html
docomo,北陸,石川県,ドコモショップ津幡店,929-0341 石川県河北郡津幡町字横浜ほ1-17,https://shop.smt.docomo.ne.jp/shop_detail/0501500347900/index.html
docomo,北陸,石川県,ドコモショップ東金沢店,920-0809 石川県金沢市三池栄町320,https://shop.smt.docomo.ne.jp/shop_detail/0501500174300/index.html
docomo,北陸,石川県,ドコモショップ入江店,921-8015 石川県金沢市東力４丁目236,https://shop.smt.docomo.ne.jp/shop_detail/0501500188100/index.html
docomo,北陸,石川県,ドコモショップ野々市新庄店,921-8835 石川県野々市市上林4-368,https://shop.smt.docomo.ne.jp/shop_detail/0501500172000/index.html
docomo,北陸,石川県,ドコモショップ野々市本町店,921-8815 石川県野々市市本町6-14-23,https://shop.smt.docomo.ne.jp/shop_detail/0501500280200/index.html
docomo,北陸,石川県,ドコモショップ有松店,921-8161 石川県金沢市有松4-13-5,https://shop.smt.docomo.ne.jp/shop_detail/0571010024100/index.html
docomo,北陸,石川県,ドコモショップ輪島店,928-0022 石川県輪島市宅田町42 ワイプラザ輪島店,https://shop.smt.docomo.ne.jp/shop_detail/0501500361400/index.html
softbank,甲信越,石川県,ソフトバンク アクロスプラザ野々市,石川県野々市市三納１丁目１４４番地　アクロスプラザ内,https://www.softbank.jp/shop/search/detail/R214/
softbank,甲信越,石川県,ソフトバンク アピタ金沢,石川県金沢市中村町１０番２０号,https://www.softbank.jp/shop/search/detail/R241/
