キャリア,地域,都道府県,店名,住所,URL
au,東北,岩手県,au Style 一関,021-0055 岩手県一関市山目字泥田７２－４,https://www.au.com/storelocator/detail/?shopId=T-00134
au,東北,岩手県,au Style 水沢バイパス,023-0003 岩手県奥州市水沢 佐倉河字嶋舘２８－１,https://www.au.com/storelocator/detail/?shopId=T-00136
au,東北,岩手県,au Style 盛岡本宮,020-0851 岩手県盛岡市向中野３－２－２６,https://www.au.com/storelocator/detail/?shopId=T-00329
au,東北,岩手県,au Style 大船渡,022-0003 岩手県大船渡市盛町字権現堂２番地５,https://www.au.com/storelocator/detail/?shopId=T-00102
au,東北,岩手県,au Style 津志田,020-0837 岩手県盛岡市津志田町２－４－３,https://www.au.com/storelocator/detail/?shopId=T-00135
au,東北,岩手県,au Style 北上中央,024-0083 岩手県北上市柳原１－１４３－１,https://www.au.com/storelocator/detail/?shopId=T-00266
au,東北,岩手県,ａｕショップ イオンタウン釜石,026-0011 岩手県釜石市港町２丁目１－１　イオンタウン釜石3階,https://www.au.com/storelocator/detail/?shopId=T-00226
au,東北,岩手県,ａｕショップ 一関ひがし,021-0002 岩手県一関市中里南白幡204-1,https://www.au.com/storelocator/detail/?shopId=T-00310
au,東北,岩手県,ａｕショップ 花巻,025-0064 岩手県花巻市桜台１丁目１５－１０,https://www.au.com/storelocator/detail/?shopId=T-00070
au,東北,岩手県,ａｕショップ 花巻中央,025-0081 岩手県花巻市里川口町1番4号,https://www.au.com/storelocator/detail/?shopId=T-00370
au,東北,岩手県,ａｕショップ 久慈,028-0041 岩手県久慈市長内町第３４地割３６－１,https://www.au.com/storelocator/detail/?shopId=T-00225
au,東北,岩手県,ａｕショップ 宮古,027-0052 岩手県宮古市宮町３－１０－５５,https://www.au.com/storelocator/detail/?shopId=T-00131
au,東北,岩手県,ａｕショップ 盛岡インター,020-0148 岩手県盛岡市前潟2丁目1-33,https://www.au.com/storelocator/detail/?shopId=T-00270
au,東北,岩手県,ａｕショップ 盛岡バイパス,020-0066 岩手県盛岡市上田４丁目１２－３３,https://www.au.com/storelocator/detail/?shopId=T-00230
au,東北,岩手県,ａｕショップ 西根,028-7111 岩手県八幡平市大更２２－１７０－２,https://www.au.com/storelocator/detail/?shopId=T-00314
au,東北,岩手県,ａｕショップ 青山,020-0122 岩手県盛岡市みたけ３－１９－３０　パークサイドビルド１Ｆ,https://www.au.com/storelocator/detail/?shopId=T-00141
docomo,東北,岩手県,ドコモショップイオンタウン釜石店,026-0011 岩手県釜石市港町1-1 イオンタウン釜石,https://shop.smt.docomo.ne.jp/shop_detail/0296160192500/index.html
