キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,四国,香川県,au Style サンシャイン通り,761-8074 香川県高松市太田上町282-3,https://www.au.com/storelocator/detail/?shopId=S-00184,34.296272,134.038707,ok
au,四国,香川県,au Style ハローズ円座,761-8044 香川県高松市円座町845-3,https://www.au.com/storelocator/detail/?shopId=S-00339,34.293942,134.011890,ok
au,四国,香川県,au Style 高松丸亀町,760-0029 香川県高松市丸亀町3-13　参番街西館1F,https://www.au.com/storelocator/detail/?shopId=S-00332,34.344670,134.050061,ok
au,四国,香川県,ａｕショップ さぬき志度,769-2101 香川県さぬき市志度９９５－１,https://www.au.com/storelocator/detail/?shopId=S-00283,34.320473,134.181143,ok
au,四国,香川県,ａｕショップ ゆめタウン丸亀,763-0055 香川県丸亀市新田町１５０ ゆめタウン丸亀 １Ｆ,https://www.au.com/storelocator/detail/?shopId=S-00325,34.273522,133.785263,ok
au,四国,香川県,ａｕショップ ゆめタウン高松,761-8072 香川県高松市三条町６０８-１　ゆめタウン高松１Ｆ,https://www.au.com/storelocator/detail/?shopId=S-00270,34.316884,134.041011,ok
au,四国,香川県,ａｕショップ 宇多津,769-0204 香川県綾歌郡宇多津町浜４番丁４５－１,https://www.au.com/storelocator/detail/?shopId=S-00073,34.310683,133.814117,ok
au,四国,香川県,ａｕショップ 屋島,761-0113 香川県高松市屋島西町１９０１,https://www.au.com/storelocator/detail/?shopId=S-00072,34.339530,134.100295,ok
au,四国,香川県,ａｕショップ 観音寺,768-0021 香川県観音寺市吉岡町１,https://www.au.com/storelocator/detail/?shopId=S-00229,34.132934,133.693475,ok
au,四国,香川県,ａｕショップ 丸亀土器,763-0082 香川県丸亀市土器町東6丁目431番地,https://www.au.com/storelocator/detail/?shopId=S-00239,34.295641,133.812432,ok
au,四国,香川県,ａｕショップ 香西,761-8031 香川県高松市郷東町1-8,https://www.au.com/storelocator/detail/?shopId=S-00155,34.344292,134.016610,ok
au,四国,香川県,ａｕショップ 高松レインボーロード,760-0079 香川県高松市松縄町1066-6,https://www.au.com/storelocator/detail/?shopId=S-00327,34.319924,134.063000,ok
au,四国,香川県,ａｕショップ 国分寺(香川県),769-0102 香川県高松市国分寺町国分193-1,https://www.au.com/storelocator/detail/?shopId=S-00159,34.297571,133.953221,ok
au,四国,香川県,ａｕショップ 三本松,769-2602 香川県東かがわ市川東６８－１,https://www.au.com/storelocator/detail/?shopId=S-00085,34.249302,134.330779,ok
au,四国,香川県,ａｕショップ 三木(香川県),761-0612 香川県木田郡三木町氷上782-1,https://www.au.com/storelocator/detail/?shopId=S-00225,34.263995,134.137209,ok
au,四国,香川県,ａｕショップ 小豆島,761-4100 香川県小豆郡土庄町字半の池甲1360-10,https://www.au.com/storelocator/detail/?shopId=S-00262,34.476081,134.179876,ok
au,四国,香川県,ａｕショップ 善通寺,765-0053 香川県善通寺市生野町１０３１－１,https://www.au.com/storelocator/detail/?shopId=S-00076,34.228870,133.792449,ok
docomo,四国,香川県,ドコモショップこんぴら店,766-0021 香川県仲多度郡まんのう町四條213-1,https://shop.smt.docomo.ne.jp/shop_detail/0801800238300/index.html,34.186903055556,133.83883916667,ok
docomo,四国,香川県,ドコモショップゆめタウン丸亀店,763-0055 香川県丸亀市新田町150 ゆめタウン丸亀店,https://shop.smt.docomo.ne.jp/shop_detail/0801800390700/index.html,34.274311388889,133.78532416667,ok
docomo,四国,香川県,ドコモショップゆめタウン高松店,761-8072 香川県高松市三条町中所608-1 ゆめタウン高松店,https://shop.smt.docomo.ne.jp/shop_detail/0801800258500/index.html,34.316334444444,134.04182305556,ok
docomo,四国,香川県,ドコモショップゆめタウン三豊店,769-1506 香川県三豊市豊中町本山甲22 ゆめタウン三豊店,https://shop.smt.docomo.ne.jp/shop_detail/0801800390300/index.html,34.14494,133.70104361111,ok
docomo,四国,香川県,ドコモショップ綾川店,761-2304 香川県綾歌郡綾川町萱原821-1,https://shop.smt.docomo.ne.jp/shop_detail/0862004711100/index.html,34.2500825,133.93112444444,ok
docomo,四国,香川県,ドコモショップ宇多津店,769-0204 香川県綾歌郡宇多津町浜四番丁1-46,https://shop.smt.docomo.ne.jp/shop_detail/0801800382000/index.html,34.309976111111,133.814645,ok
docomo,四国,香川県,ドコモショップ屋島店,761-0113 香川県高松市屋島西町1879-1,https://shop.smt.docomo.ne.jp/shop_detail/0862004820100/index.html,34.339518888889,134.09800611111,ok
docomo,四国,香川県,ドコモショップ観音寺店,768-0023 香川県観音寺市古川町218-1,https://shop.smt.docomo.ne.jp/shop_detail/0862004630200/index.html,34.131944444444,133.69333333333,ok
docomo,四国,香川県,ドコモショップ丸亀店,763-0033 香川県丸亀市中府町7-17,https://shop.smt.docomo.ne.jp/shop_detail/0862004511400/index.html,34.281452222222,133.79694805556,ok
docomo,四国,香川県,ドコモショップ高松香西店,761-8014 香川県高松市香西南町576-1,https://shop.smt.docomo.ne.jp/shop_detail/0862004630300/index.html,34.34097,133.99919888889,ok
docomo,四国,香川県,ドコモショップ高松店,761-8084 香川県高松市一宮町127-1,https://shop.smt.docomo.ne.jp/shop_detail/0862004730400/index.html,34.284969166667,134.033055,ok
docomo,四国,香川県,ドコモショップ高瀬店,767-0001 香川県三豊市高瀬町上高瀬1458-1,https://shop.smt.docomo.ne.jp/shop_detail/0801800007400/index.html,34.182780555556,133.71958388889,ok
docomo,四国,香川県,ドコモショップ国分寺店（香川県）,769-0102 香川県高松市国分寺町国分562-3,https://shop.smt.docomo.ne.jp/shop_detail/0801800354200/index.html,34.297532222222,133.95230222222,ok
docomo,四国,香川県,ドコモショップ坂出店,762-0057 香川県坂出市宮下町4-2,https://shop.smt.docomo.ne.jp/shop_detail/0801800390500/index.html,34.317724722222,133.84662333333,ok
docomo,四国,香川県,ドコモショップ三本松店,769-2601 香川県東かがわ市三本松1537-1,https://shop.smt.docomo.ne.jp/shop_detail/0862004630100/index.html,34.249776111111,134.33721555556,ok
docomo,四国,香川県,ドコモショップ三木店（香川県）,761-0612 香川県木田郡三木町氷上1270-1,https://shop.smt.docomo.ne.jp/shop_detail/0862004770200/index.html,34.264291944444,134.12733333333,ok
docomo,四国,香川県,ドコモショップ志度店,769-2101 香川県さぬき市志度620-8,https://shop.smt.docomo.ne.jp/shop_detail/0862004770100/index.html,34.321393055556,134.17557472222,ok
docomo,四国,香川県,ドコモショップ小豆島店,761-4121 香川県小豆郡土庄町淵崎甲1-50,https://shop.smt.docomo.ne.jp/shop_detail/0801800003700/index.html,34.488359444444,134.19411416667,ok
docomo,四国,香川県,ドコモショップ川島店,761-0443 香川県高松市川島東町429-1,https://shop.smt.docomo.ne.jp/shop_detail/0801800301500/index.html,34.276298888889,134.09866972222,ok
docomo,四国,香川県,ドコモショップ善通寺店,765-0012 香川県善通寺市上吉田町569-1,https://shop.smt.docomo.ne.jp/shop_detail/0862004750200/index.html,34.2301375,133.7911725,ok
docomo,四国,香川県,ドコモショップ太田店（香川県）,761-8073 香川県高松市太田下町1-Feb,https://shop.smt.docomo.ne.jp/shop_detail/0862004710200/index.html,34.308446666667,134.05259,ok
docomo,四国,香川県,ドコモショップ大野原店,769-1611 香川県観音寺市大野原町大野原1-61,https://shop.smt.docomo.ne.jp/shop_detail/0801800273400/index.html,34.096582777778,133.6584,ok
docomo,四国,香川県,ドコモショップ朝日町店,760-0065 香川県高松市朝日町3-448-16,https://shop.smt.docomo.ne.jp/shop_detail/0801800233200/index.html,34.347239722222,134.06695638889,ok
docomo,四国,香川県,ドコモショップ勅使店,761-8058 香川県高松市勅使町559-1,https://shop.smt.docomo.ne.jp/shop_detail/0852004650700/index.html,34.3086025,134.01762861111,ok
docomo,四国,香川県,ドコモショップ土器店,763-0082 香川県丸亀市土器町東6-439,https://shop.smt.docomo.ne.jp/shop_detail/0801800223200/index.html,34.295932222222,133.81224277778,ok
docomo,四国,香川県,ドコモショップ兵庫町店,760-0024 香川県高松市兵庫町11-6 カーニープレイス高松兵庫町ビル,https://shop.smt.docomo.ne.jp/shop_detail/0801800243900/index.html,34.346046944444,134.0496425,ok
docomo,四国,香川県,ドコモショップ木太店,760-0080 香川県高松市木太町２区1135-2,https://shop.smt.docomo.ne.jp/shop_detail/0862004850100/index.html,34.321665833333,134.06718944444,ok
softbank,四国,香川県,ソフトバンク ＹＡＭＡＤＡ綾川,香川県綾歌郡綾川町萱原８２２‐１,https://www.softbank.jp/shop/search/detail/S247/,34.250744,133.93109,ok
softbank,四国,香川県,ソフトバンク イオンモール高松,香川県高松市香西本町１‐１,https://www.softbank.jp/shop/search/detail/SA00/,34.352592,134.00537,ok
softbank,四国,香川県,ソフトバンク さぬき三木,香川県木田郡三木町大字氷上９５５‐６,https://www.softbank.jp/shop/search/detail/S217/,34.263535,134.13435,ok
softbank,四国,香川県,ソフトバンク ゆめタウン丸亀,香川県丸亀市新田町１５０　ゆめタウン丸亀１Ｆ,https://www.softbank.jp/shop/search/detail/S249/,34.27366,133.7854,ok
