キャリア,地域,都道府県,店名,住所,URL
au,九州・沖縄,鹿児島県,au Style アクロスプラザ与次郎,890-0062 鹿児島県鹿児島市与次郎1丁目7-20,https://www.au.com/storelocator/detail/?shopId=Q-00847
au,九州・沖縄,鹿児島県,au Style イオンモール鹿児島,891-0115 鹿児島県鹿児島市東開町７　イオンモール鹿児島２階,https://www.au.com/storelocator/detail/?shopId=Q-00872
au,九州・沖縄,鹿児島県,au Style ソレイユタウン伊集院,899-2502 鹿児島県日置市伊集院町徳重3丁目9-1,https://www.au.com/storelocator/detail/?shopId=Q-00109
au,九州・沖縄,鹿児島県,au Style 志布志,899-7103 鹿児島県志布志市志布志町志布志２丁目１４－１４,https://www.au.com/storelocator/detail/?shopId=Q-00032
au,九州・沖縄,鹿児島県,au Style 鹿屋バイパス,893-0022 鹿児島県鹿屋市旭原町3593-7,https://www.au.com/storelocator/detail/?shopId=Q-00033
au,九州・沖縄,鹿児島県,ａｕショップ Ｎ’ｓＣＩＴＹ谷山,891-0123 鹿児島県鹿児島市卸本町５－３５,https://www.au.com/storelocator/detail/?shopId=Q-00112
au,九州・沖縄,鹿児島県,ａｕショップ アリーナ中央通,890-0023 鹿児島県鹿児島市永吉２－７－３,https://www.au.com/storelocator/detail/?shopId=Q-00621
au,九州・沖縄,鹿児島県,ａｕショップ イオンタウン姶良,899-5421 鹿児島県姶良市東餅田336 イオンタウン姶良東街区1F,https://www.au.com/storelocator/detail/?shopId=Q-00846
au,九州・沖縄,鹿児島県,ａｕショップ 伊敷ニュータウン,890-0007 鹿児島県鹿児島市伊敷台５－１０－５,https://www.au.com/storelocator/detail/?shopId=Q-00346
au,九州・沖縄,鹿児島県,ａｕショップ 沖永良部,891-9112 鹿児島県大島郡和泊町大字和泊５７６－７,https://www.au.com/storelocator/detail/?shopId=Q-00685
au,九州・沖縄,鹿児島県,ａｕショップ 吉野,892-0877 鹿児島県鹿児島市吉野一丁目２０番２０号,https://www.au.com/storelocator/detail/?shopId=Q-00804
au,九州・沖縄,鹿児島県,ａｕショップ 国分西,899-4341 鹿児島県霧島市国分野口東５－５５,https://www.au.com/storelocator/detail/?shopId=Q-00074
au,九州・沖縄,鹿児島県,ａｕショップ 国分北,899-4351 鹿児島県霧島市国分新町９７４－２,https://www.au.com/storelocator/detail/?shopId=Q-00474
au,九州・沖縄,鹿児島県,ａｕショップ 指宿,891-0304 鹿児島県指宿市東方１０８３３－３,https://www.au.com/storelocator/detail/?shopId=Q-00434
au,九州・沖縄,鹿児島県,ａｕショップ 鹿屋旭原,893-0022 鹿児島県鹿屋市旭原町２７２３－３,https://www.au.com/storelocator/detail/?shopId=Q-00475
au,九州・沖縄,鹿児島県,ａｕショップ 鹿屋寿,893-0014 鹿児島県鹿屋市寿７－４－６　柿田ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=Q-00400
au,九州・沖縄,鹿児島県,ａｕショップ 種子島,891-3111 鹿児島県西之表市西町180番地,https://www.au.com/storelocator/detail/?shopId=Q-00138
au,九州・沖縄,鹿児島県,ａｕショップ 出水,899-0125 鹿児島県出水市黄金町484-2,https://www.au.com/storelocator/detail/?shopId=Q-00001
au,九州・沖縄,鹿児島県,ａｕショップ 上川内,895-0067 鹿児島県薩摩川内市上川内町４０８１番１,https://www.au.com/storelocator/detail/?shopId=Q-00344
au,九州・沖縄,鹿児島県,ａｕショップ 川内中郷,895-0072 鹿児島県薩摩川内市中郷２－６３,https://www.au.com/storelocator/detail/?shopId=Q-00384
au,九州・沖縄,鹿児島県,ａｕショップ 大口(鹿児島県),895-2511 鹿児島県伊佐市大口里７０１－４,https://www.au.com/storelocator/detail/?shopId=Q-00073
au,九州・沖縄,鹿児島県,ａｕショップ 谷山,891-0117 鹿児島県鹿児島市西谷山３丁目２９－１,https://www.au.com/storelocator/detail/?shopId=Q-00052
au,九州・沖縄,鹿児島県,ａｕショップ 中山バイパス（鹿児島県）,891-0108 鹿児島県鹿児島市中山２－２３－５,https://www.au.com/storelocator/detail/?shopId=Q-00352
au,九州・沖縄,鹿児島県,ａｕショップ 天文館電停前,892-0842 鹿児島県鹿児島市東千石町１３－１６　天文館薬局ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=Q-00222
au,九州・沖縄,鹿児島県,ａｕショップ 徳之島,891-7101 鹿児島県大島郡徳之島町亀津９１８－１,https://www.au.com/storelocator/detail/?shopId=Q-00686
au,九州・沖縄,鹿児島県,ａｕショップ 南さつま,897-0006 鹿児島県南さつま市加世田本町７－４,https://www.au.com/storelocator/detail/?shopId=Q-00126
au,九州・沖縄,鹿児島県,ａｕショップ 隼人中央,899-5102 鹿児島県霧島市隼人町真孝字櫻馬場５１－５,https://www.au.com/storelocator/detail/?shopId=Q-00706
au,九州・沖縄,鹿児島県,ａｕショップ 枕崎,898-0062 鹿児島県枕崎市寿町４６３,https://www.au.com/storelocator/detail/?shopId=Q-00028
au,九州・沖縄,鹿児島県,ａｕショップ 末吉,899-8609 鹿児島県曽於市末吉町上町４－１－４,https://www.au.com/storelocator/detail/?shopId=Q-00728
au,九州・沖縄,鹿児島県,ａｕショップ 名瀬,894-0022 鹿児島県奄美市名瀬久里町１－５,https://www.au.com/storelocator/detail/?shopId=Q-00137
docomo,九州,鹿児島県,ドコモショップイオンかのやＳＣ店（鹿屋）,893-0016 鹿児島県鹿屋市白崎町4-1,https://shop.smt.docomo.ne.jp/shop_detail/0901900086600/index.html
docomo,九州,鹿児島県,ドコモショップイオンタウン姶良店,899-5431 鹿児島県姶良市西餅田264-1 イオンタウン姶良　西街区,https://shop.smt.docomo.ne.jp/shop_detail/0901900191900/index.html
docomo,九州,鹿児島県,ドコモショップイオンモールＫＡＧＯＳＨＩＭＡＢＡＹ,891-0115 鹿児島県鹿児島市東開町7 イオンモールＫＡＧＯＳＨＩＭＡＢＡＹ,https://shop.smt.docomo.ne.jp/shop_detail/0960009300200/index.html
docomo,九州,鹿児島県,ドコモショップ阿久根店,899-1626 鹿児島県阿久根市鶴見町11,https://shop.smt.docomo.ne.jp/shop_detail/0901900346900/index.html
docomo,九州,鹿児島県,ドコモショップ伊集院店,899-2505 鹿児島県日置市伊集院町猪鹿倉792-1,https://shop.smt.docomo.ne.jp/shop_detail/0901900222800/index.html
