キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,近畿,京都府,au Style KYOTO,600-8002 京都府京都市下京区四条通寺町東入2丁目御旅町21-2,https://www.au.com/storelocator/detail/?shopId=K-00806,35.003586,135.767880,ok
au,近畿,京都府,au Style イオンモール久御山,613-0024 京都府久世郡久御山町森南大内１５６－１（イオンモール久御山　２階）,https://www.au.com/storelocator/detail/?shopId=K-00764,34.894541,135.744127,ok
au,近畿,京都府,au Style 松井山手,610-0354 京都府京田辺市山手南１－３－２　日東ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00593,34.832252,135.726198,ok
au,近畿,京都府,au Style 城陽,610-0101 京都府城陽市平川古宮８,https://www.au.com/storelocator/detail/?shopId=K-00178,34.862316,135.777106,ok
au,近畿,京都府,au Style 長岡京,617-0828 京都府長岡京市馬場図所２６,https://www.au.com/storelocator/detail/?shopId=K-00390,34.927173,135.711537,ok
au,近畿,京都府,au Style 福知山,620-0931 京都府福知山市駅南町3-20-1,https://www.au.com/storelocator/detail/?shopId=K-00221,35.295215,135.117373,ok
au,近畿,京都府,au Style 木津,619-0214 京都府木津川市木津川原田４７－１,https://www.au.com/storelocator/detail/?shopId=K-00598,34.732865,135.822068,ok
au,近畿,京都府,ａｕショップ ＢｉＶｉ二条,604-8415 京都府京都市中京区西ノ京栂尾町107　ＢｉＶｉ二条内,https://www.au.com/storelocator/detail/?shopId=K-00608,35.010631,135.741225,ok
au,近畿,京都府,ａｕショップ イオンモールＫＹＯＴＯ,601-8417 京都府京都市南区西九条鳥居口町１番地　Ｓａｋｕｒａ館４Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00716,34.983248,135.754590,ok
au,近畿,京都府,ａｕショップ イオンモール京都桂川,601-8211 京都府京都市南区久世高田町３７６番１,https://www.au.com/storelocator/detail/?shopId=K-00799,34.964027,135.709307,ok
au,近畿,京都府,ａｕショップ イオンモール京都五条,615-0035 京都府京都市右京区西院追分町25-1,https://www.au.com/storelocator/detail/?shopId=K-00809,34.997365,135.727235,ok
au,近畿,京都府,ａｕショップ イオンモール高の原,619-0223 京都府木津川市相楽台１－１－１　イオンモール高の原2階,https://www.au.com/storelocator/detail/?shopId=K-00363,34.725335,135.790866,ok
au,近畿,京都府,ａｕショップ 烏丸御池,604-8186 京都府京都市中京区梅屋町３６１－１　アーバネックス御池ビル東館１Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00416,35.010551,135.760310,ok
au,近畿,京都府,ａｕショップ 烏丸北大路,603-8143 京都府京都市北区小山上総町9番,https://www.au.com/storelocator/detail/?shopId=K-00659,35.042931,135.759510,ok
au,近畿,京都府,ａｕショップ 横大路,612-8245 京都府京都市伏見区横大路下三栖宮ノ後２５,https://www.au.com/storelocator/detail/?shopId=K-00655,34.926810,135.747032,ok
au,近畿,京都府,ａｕショップ 河原町今出川,602-0847 京都府京都市上京区今出川通寺町東入大宮町312　アルモード御所東1階,https://www.au.com/storelocator/detail/?shopId=K-00370,35.028995,135.768938,ok
au,近畿,京都府,ａｕショップ 亀岡,621-0805 京都府亀岡市安町野々神１５－８,https://www.au.com/storelocator/detail/?shopId=K-00011,35.013363,135.571876,ok
au,近畿,京都府,ａｕショップ 吉祥院,601-8317 京都府京都市南区吉祥院新田弐ノ段町32,https://www.au.com/storelocator/detail/?shopId=K-00181,34.975554,135.725698,ok
au,近畿,京都府,ａｕショップ 京都駅前,600-8216 京都府京都市下京区塩小路通烏丸西入東塩小路町６１４,https://www.au.com/storelocator/detail/?shopId=K-00179,34.987303,135.756243,ok
au,近畿,京都府,ａｕショップ 九条御前,601-8451 京都府京都市南区唐橋川久保町２－１,https://www.au.com/storelocator/detail/?shopId=K-00460,34.978072,135.735938,ok
au,近畿,京都府,ａｕショップ 五条桂,615-8004 京都府京都市西京区桂畑ヶ田町６２－１,https://www.au.com/storelocator/detail/?shopId=K-00173,34.992290,135.703473,ok
au,近畿,京都府,ａｕショップ 高野,606-8231 京都府京都市左京区田中上古川町８番２号,https://www.au.com/storelocator/detail/?shopId=K-00286,35.040437,135.784794,ok
au,近畿,京都府,ａｕショップ 三条,604-8036 京都府京都市中京区三条通新京極角石橋町6,https://www.au.com/storelocator/detail/?shopId=K-00287,35.008645,135.767337,ok
au,近畿,京都府,ａｕショップ 山科三条,607-8411 京都府京都市山科区御陵大津畑町２２－８,https://www.au.com/storelocator/detail/?shopId=K-00350,34.989930,135.813816,ok
au,近畿,京都府,ａｕショップ 山科新十条,607-8203 京都府京都市山科区栗栖野打越町４０-３,https://www.au.com/storelocator/detail/?shopId=K-00654,34.971484,135.807500,ok
au,近畿,京都府,ａｕショップ 四条大宮,604-8365 京都府京都市中京区四条通大宮西入錦大宮町１１６－０２　ブラネシア阪急大宮ビル１F,https://www.au.com/storelocator/detail/?shopId=K-00376,35.003778,135.748374,ok
au,近畿,京都府,ａｕショップ 四条天神川,615-0057 京都府京都市右京区西院西貝川町６０－１,https://www.au.com/storelocator/detail/?shopId=K-00595,35.001897,135.716331,ok
au,近畿,京都府,ａｕショップ 紫野,603-8247 京都府京都市北区紫野泉堂町1-1,https://www.au.com/storelocator/detail/?shopId=K-00349,35.048741,135.741126,ok
au,近畿,京都府,ａｕショップ 小倉,611-0042 京都府宇治市小倉町久保１１９－２,https://www.au.com/storelocator/detail/?shopId=K-00101,34.898612,135.783230,ok
au,近畿,京都府,ａｕショップ 城陽長池,610-0112 京都府城陽市長池北清水110-3,https://www.au.com/storelocator/detail/?shopId=K-00785,34.840503,135.788992,ok
au,近畿,京都府,ａｕショップ 常盤東,616-8216 京都府京都市右京区常盤一ノ井町１番地,https://www.au.com/storelocator/detail/?shopId=K-00369,35.018323,135.711905,ok
au,近畿,京都府,ａｕショップ 深草,612-0029 京都府京都市伏見区深草西浦町４丁目８５－２,https://www.au.com/storelocator/detail/?shopId=K-00102,34.959754,135.767956,ok
au,近畿,京都府,ａｕショップ 西院,615-0022 京都府京都市右京区西院平町１０番,https://www.au.com/storelocator/detail/?shopId=K-00097,35.001018,135.731770,ok
au,近畿,京都府,ａｕショップ 西舞鶴,624-0841 京都府舞鶴市字引土小字中ノ堂156-1,https://www.au.com/storelocator/detail/?shopId=K-00367,35.439932,135.328102,ok
au,近畿,京都府,ａｕショップ 大久保バイパス,613-0032 京都府久世郡久御山町栄１－１－１１４,https://www.au.com/storelocator/detail/?shopId=K-00408,34.879647,135.763273,ok
au,近畿,京都府,ａｕショップ 大手筋,612-8053 京都府京都市伏見区東大手町７５９,https://www.au.com/storelocator/detail/?shopId=K-00326,34.933088,135.761724,ok
