キャリア,地域,都道府県,店名,住所,URL
au,近畿,京都府,au Style KYOTO,600-8002 京都府京都市下京区四条通寺町東入2丁目御旅町21-2,https://www.au.com/storelocator/detail/?shopId=K-00806
au,近畿,京都府,au Style イオンモール久御山,613-0024 京都府久世郡久御山町森南大内１５６－１（イオンモール久御山　２階）,https://www.au.com/storelocator/detail/?shopId=K-00764
au,近畿,京都府,au Style 松井山手,610-0354 京都府京田辺市山手南１－３－２　日東ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00593
au,近畿,京都府,au Style 城陽,610-0101 京都府城陽市平川古宮８,https://www.au.com/storelocator/detail/?shopId=K-00178
au,近畿,京都府,au Style 長岡京,617-0828 京都府長岡京市馬場図所２６,https://www.au.com/storelocator/detail/?shopId=K-00390
au,近畿,京都府,au Style 福知山,620-0931 京都府福知山市駅南町3-20-1,https://www.au.com/storelocator/detail/?shopId=K-00221
au,近畿,京都府,au Style 木津,619-0214 京都府木津川市木津川原田４７－１,https://www.au.com/storelocator/detail/?shopId=K-00598
au,近畿,京都府,ａｕショップ ＢｉＶｉ二条,604-8415 京都府京都市中京区西ノ京栂尾町107　ＢｉＶｉ二条内,https://www.au.com/storelocator/detail/?shopId=K-00608
au,近畿,京都府,ａｕショップ イオンモールＫＹＯＴＯ,601-8417 京都府京都市南区西九条鳥居口町１番地　Ｓａｋｕｒａ館４Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00716
au,近畿,京都府,ａｕショップ イオンモール京都桂川,601-8211 京都府京都市南区久世高田町３７６番１,https://www.au.com/storelocator/detail/?shopId=K-00799
au,近畿,京都府,ａｕショップ イオンモール京都五条,615-0035 京都府京都市右京区西院追分町25-1,https://www.au.com/storelocator/detail/?shopId=K-00809
au,近畿,京都府,ａｕショップ イオンモール高の原,619-0223 京都府木津川市相楽台１－１－１　イオンモール高の原2階,https://www.au.com/storelocator/detail/?shopId=K-00363
au,近畿,京都府,ａｕショップ 烏丸御池,604-8186 京都府京都市中京区梅屋町３６１－１　アーバネックス御池ビル東館１Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00416
au,近畿,京都府,ａｕショップ 烏丸北大路,603-8143 京都府京都市北区小山上総町9番,https://www.au.com/storelocator/detail/?shopId=K-00659
au,近畿,京都府,ａｕショップ 横大路,612-8245 京都府京都市伏見区横大路下三栖宮ノ後２５,https://www.au.com/storelocator/detail/?shopId=K-00655
au,近畿,京都府,ａｕショップ 河原町今出川,602-0847 京都府京都市上京区今出川通寺町東入大宮町312　アルモード御所東1階,https://www.au.com/storelocator/detail/?shopId=K-00370
au,近畿,京都府,ａｕショップ 亀岡,621-0805 京都府亀岡市安町野々神１５－８,https://www.au.com/storelocator/detail/?shopId=K-00011
au,近畿,京都府,ａｕショップ 吉祥院,601-8317 京都府京都市南区吉祥院新田弐ノ段町32,https://www.au.com/storelocator/detail/?shopId=K-00181
au,近畿,京都府,ａｕショップ 京都駅前,600-8216 京都府京都市下京区塩小路通烏丸西入東塩小路町６１４,https://www.au.com/storelocator/detail/?shopId=K-00179
au,近畿,京都府,ａｕショップ 九条御前,601-8451 京都府京都市南区唐橋川久保町２－１,https://www.au.com/storelocator/detail/?shopId=K-00460
au,近畿,京都府,ａｕショップ 五条桂,615-8004 京都府京都市西京区桂畑ヶ田町６２－１,https://www.au.com/storelocator/detail/?shopId=K-00173
au,近畿,京都府,ａｕショップ 高野,606-8231 京都府京都市左京区田中上古川町８番２号,https://www.au.com/storelocator/detail/?shopId=K-00286
au,近畿,京都府,ａｕショップ 三条,604-8036 京都府京都市中京区三条通新京極角石橋町6,https://www.au.com/storelocator/detail/?shopId=K-00287
au,近畿,京都府,ａｕショップ 山科三条,607-8411 京都府京都市山科区御陵大津畑町２２－８,https://www.au.com/storelocator/detail/?shopId=K-00350
au,近畿,京都府,ａｕショップ 山科新十条,607-8203 京都府京都市山科区栗栖野打越町４０-３,https://www.au.com/storelocator/detail/?shopId=K-00654
au,近畿,京都府,ａｕショップ 四条大宮,604-8365 京都府京都市中京区四条通大宮西入錦大宮町１１６－０２　ブラネシア阪急大宮ビル１F,https://www.au.com/storelocator/detail/?shopId=K-00376
au,近畿,京都府,ａｕショップ 四条天神川,615-0057 京都府京都市右京区西院西貝川町６０－１,https://www.au.com/storelocator/detail/?shopId=K-00595
au,近畿,京都府,ａｕショップ 紫野,603-8247 京都府京都市北区紫野泉堂町1-1,https://www.au.com/storelocator/detail/?shopId=K-00349
au,近畿,京都府,ａｕショップ 小倉,611-0042 京都府宇治市小倉町久保１１９－２,https://www.au.com/storelocator/detail/?shopId=K-00101
au,近畿,京都府,ａｕショップ 城陽長池,610-0112 京都府城陽市長池北清水110-3,https://www.au.com/storelocator/detail/?shopId=K-00785
au,近畿,京都府,ａｕショップ 常盤東,616-8216 京都府京都市右京区常盤一ノ井町１番地,https://www.au.com/storelocator/detail/?shopId=K-00369
au,近畿,京都府,ａｕショップ 深草,612-0029 京都府京都市伏見区深草西浦町４丁目８５－２,https://www.au.com/storelocator/detail/?shopId=K-00102
au,近畿,京都府,ａｕショップ 西院,615-0022 京都府京都市右京区西院平町１０番,https://www.au.com/storelocator/detail/?shopId=K-00097
au,近畿,京都府,ａｕショップ 西舞鶴,624-0841 京都府舞鶴市字引土小字中ノ堂156-1,https://www.au.com/storelocator/detail/?shopId=K-00367
au,近畿,京都府,ａｕショップ 大久保バイパス,613-0032 京都府久世郡久御山町栄１－１－１１４,https://www.au.com/storelocator/detail/?shopId=K-00408
au,近畿,京都府,ａｕショップ 大手筋,612-8053 京都府京都市伏見区東大手町７５９,https://www.au.com/storelocator/detail/?shopId=K-00326
au,近畿,京都府,ａｕショップ 東向日,617-0002 京都府向日市寺戸町向畑62,https://www.au.com/storelocator/detail/?shopId=K-00183
au,近畿,京都府,ａｕショップ 東舞鶴,625-0036 京都府舞鶴市字浜９８１,https://www.au.com/storelocator/detail/?shopId=K-00449
au,近畿,京都府,ａｕショップ 八幡,614-8279 京都府八幡市美濃山幸水２－１,https://www.au.com/storelocator/detail/?shopId=K-00387
au,近畿,京都府,ａｕショップ 伏見,612-8455 京都府京都市伏見区中島外山町４１－１,https://www.au.com/storelocator/detail/?shopId=K-00412
au,近畿,京都府,ａｕショップ 福知山堀,620-0875 京都府福知山市堀三白２４９１－１,https://www.au.com/storelocator/detail/?shopId=K-00022
au,近畿,京都府,ａｕショップ 並河,621-0011 京都府亀岡市大井町土田１丁目３４７－１,https://www.au.com/storelocator/detail/?shopId=K-00024
au,近畿,京都府,ａｕショップ 宝ヶ池,606-0002 京都府京都市左京区岩倉中大鷺町10番地　コーポ大鷺1階,https://www.au.com/storelocator/detail/?shopId=K-00637
au,近畿,京都府,ａｕショップ 峰山マイン,627-0005 京都府京丹後市峰山町新町１６０６-１　ショッピングセンターマイン２階,https://www.au.com/storelocator/detail/?shopId=K-00468
au,近畿,京都府,ａｕショップ 北白川,606-8276 京都府京都市左京区北白川別当町３番地,https://www.au.com/storelocator/detail/?shopId=K-00377
au,近畿,京都府,ａｕショップ 野田川,629-2303 京都府与謝郡与謝野町石川５３６－１,https://www.au.com/storelocator/detail/?shopId=K-00213
au,近畿,京都府,ａｕショップ 洛北阪急スクエア,606-8103 京都府京都市左京区高野西開町３６　B1Ｆ　　　　,https://www.au.com/storelocator/detail/?shopId=K-00840
au,近畿,京都府,ａｕショップ 六地蔵,611-0002 京都府宇治市木幡陣ノ内55,https://www.au.com/storelocator/detail/?shopId=K-00372
docomo,近畿,京都府,ドコモショップＭＯＭＯテラス六地蔵店,612-8002 京都府京都市伏見区桃山町山ノ下32 ＭＯＭＯテラス,https://shop.smt.docomo.ne.jp/shop_detail/0601600732800/index.html
docomo,近畿,京都府,ドコモショップイオンモールＫＹＯＴＯ店,601-8417 京都府京都市南区西九条鳥居口町1 イオンモールＫＹＯＴＯ　Ｋａｅｄｅ館,https://shop.smt.docomo.ne.jp/shop_detail/0690911165200/index.html
docomo,近畿,京都府,ドコモショップイオンモール京都桂川店,601-8601 京都府京都市南区久世高田町376-1 イオンモール京都桂川,https://shop.smt.docomo.ne.jp/shop_detail/0601601500500/index.html
docomo,近畿,京都府,ドコモショップイオンモール京都五条店,615-0035 京都府京都市右京区西院追分町1-25 イオンモール京都五条,https://shop.smt.docomo.ne.jp/shop_detail/0601600797400/index.html
