キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,東海,三重県,au Style イオンタウン津城山,514-1112 三重県津市久居小野辺町１１３０－７,https://www.au.com/storelocator/detail/?shopId=N-00700,34.679578,136.501616,ok
au,東海,三重県,au Style 桑名星川,511-0912 三重県桑名市星川８９２－４,https://www.au.com/storelocator/detail/?shopId=N-00107,35.066333,136.629145,ok
au,東海,三重県,au Style 桑名東,511-0811 三重県桑名市東方３３４－２,https://www.au.com/storelocator/detail/?shopId=N-00062,35.070908,136.686874,ok
au,東海,三重県,au Style 四日市久保田,510-0821 三重県四日市市久保田二丁目１０番１５号,https://www.au.com/storelocator/detail/?shopId=N-00088,34.974656,136.608004,ok
au,東海,三重県,au Style 四日市笹川,510-0943 三重県四日市市西日野字溝野４９６５－１,https://www.au.com/storelocator/detail/?shopId=N-00505,34.951343,136.586652,ok
au,東海,三重県,au Style 津桜橋,514-0003 三重県津市桜橋３－６７－１　ショッピングタウンＮＯＶＡ１階,https://www.au.com/storelocator/detail/?shopId=N-00058,34.738891,136.518913,ok
au,東海,三重県,au Style 鈴鹿中央通,513-0807 三重県鈴鹿市三日市３－８－１３,https://www.au.com/storelocator/detail/?shopId=N-00074,34.875302,136.558187,ok
au,東海,三重県,ａｕショップ アドバンスモール松阪,515-0055 三重県松阪市田村町２３５－１　アドバンスモール松阪内,https://www.au.com/storelocator/detail/?shopId=N-00459,34.553918,136.514257,ok
au,東海,三重県,ａｕショップ イオンタウン伊賀上野,518-0823 三重県伊賀市四十九町字堂山1850,https://www.au.com/storelocator/detail/?shopId=N-00602,34.747310,136.135910,ok
au,東海,三重県,ａｕショップ イオンタウン伊勢ララパーク,516-0007 三重県伊勢市小木町 曽祢５３８,https://www.au.com/storelocator/detail/?shopId=N-00496,34.506445,136.722503,ok
au,東海,三重県,ａｕショップ イオンタウン四日市泊,510-0883 三重県四日市市泊小柳町４－５,https://www.au.com/storelocator/detail/?shopId=N-00647,34.937596,136.601340,ok
au,東海,三重県,ａｕショップ イオンタウン松阪船江,515-0812 三重県松阪市船江町1392-27　イオンタウン松阪船江2階,https://www.au.com/storelocator/detail/?shopId=N-00559,34.594024,136.523401,ok
au,東海,三重県,ａｕショップ イオンタウン鈴鹿玉垣,513-0816 三重県鈴鹿市南玉垣町５５２０－１０６　イオンタウン鈴鹿玉垣内,https://www.au.com/storelocator/detail/?shopId=N-00533,34.857388,136.581652,ok
au,東海,三重県,ａｕショップ イオンモール津南,514-0816 三重県津市高茶屋小森町145番地　イオンモール津南3階,https://www.au.com/storelocator/detail/?shopId=N-00471,34.670782,136.517678,ok
au,東海,三重県,ａｕショップ イオンモール東員,511-0255 三重県員弁郡東員町東員町長深 字築田５１０－１,https://www.au.com/storelocator/detail/?shopId=N-00652,35.060772,136.580697,ok
au,東海,三重県,ａｕショップ 伊賀上野,518-0830 三重県伊賀市平野城北町１４５,https://www.au.com/storelocator/detail/?shopId=N-00461,34.774444,136.130039,ok
au,東海,三重県,ａｕショップ 宇治山田,516-0037 三重県伊勢市岩渕３－５－１,https://www.au.com/storelocator/detail/?shopId=N-00147,34.487979,136.718153,ok
au,東海,三重県,ａｕショップ 鵜方,517-0501 三重県志摩市阿児町鵜方１６２２－２,https://www.au.com/storelocator/detail/?shopId=N-00146,34.327951,136.822549,ok
au,東海,三重県,ａｕショップ 久居,514-1101 三重県津市久居明神町７５－２　,https://www.au.com/storelocator/detail/?shopId=N-00370,34.683223,136.470949,ok
au,東海,三重県,ａｕショップ 桑名サンシパーク,511-0947 三重県桑名市大字大仲新田新井水下９２-９３　桑名サンシパーク敷地内,https://www.au.com/storelocator/detail/?shopId=N-00465,35.079448,136.607743,ok
au,東海,三重県,ａｕショップ 四日市かすみ,510-0007 三重県四日市市別名５丁目１５１０－１,https://www.au.com/storelocator/detail/?shopId=N-00577,34.996454,136.632421,ok
au,東海,三重県,ａｕショップ 四日市生桑,512-0911 三重県四日市市生桑町２０１－６,https://www.au.com/storelocator/detail/?shopId=N-00464,34.985078,136.600234,ok
au,東海,三重県,ａｕショップ 四日市北,510-8017 三重県四日市市平町１－３,https://www.au.com/storelocator/detail/?shopId=N-00388,35.011664,136.657568,ok
au,東海,三重県,ａｕショップ 松阪,515-0818 三重県松阪市川井町４７３－１,https://www.au.com/storelocator/detail/?shopId=N-00145,34.579590,136.516505,ok
au,東海,三重県,ａｕショップ 尾鷲,519-3664 三重県尾鷲市坂場町６－１,https://www.au.com/storelocator/detail/?shopId=N-00438,34.078582,136.190342,ok
au,東海,三重県,ａｕショップ 名張桔梗が丘,518-0752 三重県名張市蔵持町原出2024-1,https://www.au.com/storelocator/detail/?shopId=N-00416,34.638919,136.113496,ok
docomo,東海,三重県,ｄ　ｇａｒｄｅｎアドバンスモール松阪店,515-0055 三重県松阪市田村町235-1 アドバンスモール松阪内,https://shop.smt.docomo.ne.jp/shop_detail/0400501106900/index.html,34.553258333333,136.51427861111,ok
docomo,東海,三重県,ドコモショップアピタ桑名店,511-0068 三重県桑名市中央町3-21 アピタ桑名店,https://shop.smt.docomo.ne.jp/shop_detail/0481703060400/index.html,35.064123888889,136.68790888889,ok
docomo,東海,三重県,ドコモショップイオンタウン伊勢ララパーク店,516-0007 三重県伊勢市小木町曽祢538 イオンタウン伊勢ララパーク,https://shop.smt.docomo.ne.jp/shop_detail/0400501276500/index.html,34.506493888889,136.72253,ok
docomo,東海,三重県,ドコモショップイオンタウン四日市泊店,510-0883 三重県四日市市泊小柳町5-1 イオンタウン四日市泊店内,https://shop.smt.docomo.ne.jp/shop_detail/0400500731100/index.html,34.937983888889,136.60157361111,ok
docomo,東海,三重県,ドコモショップイオンタウン松阪船江店,515-0812 三重県松阪市船江町1392-27 イオンタウン松阪船江店,https://shop.smt.docomo.ne.jp/shop_detail/0400501149900/index.html,34.594450833333,136.52486277778,ok
docomo,東海,三重県,ドコモショップイオンタウン鈴鹿玉垣店,513-0816 三重県鈴鹿市南玉垣町5520-106 イオンタウン鈴鹿玉垣内,https://shop.smt.docomo.ne.jp/shop_detail/0400500456600/index.html,34.858528888889,136.58258888889,ok
docomo,東海,三重県,ドコモショップイオンモール四日市北店,510-8016 三重県四日市市富州原町2-40 イオンモール四日市北店,https://shop.smt.docomo.ne.jp/shop_detail/0481710001800/index.html,35.007753888889,136.65699694444,ok
docomo,東海,三重県,ドコモショップイオンモール津南店,514-0817 三重県津市高茶屋小森町145 イオンモール津南,https://shop.smt.docomo.ne.jp/shop_detail/0481743444400/index.html,34.670833333333,136.51777777778,ok
docomo,東海,三重県,ドコモショップイオンモール東員店,511-0255 三重県員弁郡東員町大字長深字築田510-1 イオンモール東員,https://shop.smt.docomo.ne.jp/shop_detail/0400500886700/index.html,35.061813888889,136.57979722222,ok
docomo,東海,三重県,ドコモショップイオンモール鈴鹿店,513-0834 三重県鈴鹿市庄野羽山1-2 イオンモール鈴鹿,https://shop.smt.docomo.ne.jp/shop_detail/0481718200000/index.html,34.871765833333,136.53159972222,ok
docomo,東海,三重県,ドコモショップサーキット通り店,510-0205 三重県鈴鹿市稲生1-1,https://shop.smt.docomo.ne.jp/shop_detail/0400501142200/index.html,34.840233333333,136.56036444444,ok
docomo,東海,三重県,ドコモショップミタス伊勢店,516-0008 三重県伊勢市船江10-15,https://shop.smt.docomo.ne.jp/shop_detail/0400501263800/index.html,34.500155277778,136.71187166667,ok
docomo,東海,三重県,ドコモショップ伊賀店,518-0007 三重県伊賀市服部町1825-4,https://shop.smt.docomo.ne.jp/shop_detail/0400500127900/index.html,34.780711944444,136.13331388889,ok
docomo,東海,三重県,ドコモショップ伊賀緑ヶ丘店,518-0836 三重県伊賀市緑ヶ丘本町1666-1,https://shop.smt.docomo.ne.jp/shop_detail/0400501264000/index.html,34.762623333333,136.13850388889,ok
docomo,東海,三重県,ドコモショップ伊勢店,519-0506 三重県伊勢市小俣町湯田223,https://shop.smt.docomo.ne.jp/shop_detail/0481743333300/index.html,34.508510555556,136.64720888889,ok
docomo,東海,三重県,ドコモショップ嬉野店（三重県）,515-2325 三重県松阪市嬉野中川新町4-201 ＭＥＧＡドンキホーテＵＮＹ　嬉野内,https://shop.smt.docomo.ne.jp/shop_detail/0400500845000/index.html,34.631466666667,136.47909611111,ok
docomo,東海,三重県,ドコモショップ亀山店,519-0103 三重県亀山市川合町1179-3,https://shop.smt.docomo.ne.jp/shop_detail/0400500545500/index.html,34.872221944444,136.47233083333,ok
docomo,東海,三重県,ドコモショップ久居店,514-1101 三重県津市久居明神町字風早2489 インターガーデン内,https://shop.smt.docomo.ne.jp/shop_detail/0400500308000/index.html,34.683963055556,136.46509222222,ok
docomo,東海,三重県,ドコモショップ熊野店,519-4324 三重県熊野市井戸町字馬留4947,https://shop.smt.docomo.ne.jp/shop_detail/0400501026100/index.html,33.885713888889,136.09857916667,ok
docomo,東海,三重県,ドコモショップ桑名西店,511-0947 三重県桑名市大字大仲新田1-67,https://shop.smt.docomo.ne.jp/shop_detail/0400500535800/index.html,35.079779722222,136.60634138889,ok
docomo,東海,三重県,ドコモショップ芸濃店,514-2211 三重県津市芸濃町椋本東豊久野1-55,https://shop.smt.docomo.ne.jp/shop_detail/0400500885100/index.html,34.807391666667,136.44313861111,ok
docomo,東海,三重県,ドコモショップ菰野店,510-1232 三重県三重郡菰野町大字宿野357 イオンタウン菰野内,https://shop.smt.docomo.ne.jp/shop_detail/0400501136100/index.html,35.005365277778,136.52821277778,ok
docomo,東海,三重県,ドコモショップ四日市生桑店,512-0911 三重県四日市市生桑町川原崎306-1,https://shop.smt.docomo.ne.jp/shop_detail/0400501145400/index.html,34.987440277778,136.601445,ok
docomo,東海,三重県,ドコモショップ四日市中央通り店,510-0075 三重県四日市市安島4-3,https://shop.smt.docomo.ne.jp/shop_detail/0400500410600/index.html,34.969413888889,136.610975,ok
docomo,東海,三重県,ドコモショップ志摩店,517-0501 三重県志摩市阿児町鵜方字小向井4929,https://shop.smt.docomo.ne.jp/shop_detail/0400500506800/index.html,34.3275,136.81361111111,ok
docomo,東海,三重県,ドコモショップ松阪店,515-0818 三重県松阪市川井町字上大坪718 パワーセンター松阪内,https://shop.smt.docomo.ne.jp/shop_detail/0400500124900/index.html,34.576744722222,136.51823138889,ok
docomo,東海,三重県,ドコモショップ鳥羽店,517-0023 三重県鳥羽市大明西町2-14,https://shop.smt.docomo.ne.jp/shop_detail/0400500962300/index.html,34.468762222222,136.84766111111,ok
docomo,東海,三重県,ドコモショップ津中央店,514-0002 三重県津市島崎町36,https://shop.smt.docomo.ne.jp/shop_detail/0400501224300/index.html,34.731671666667,136.5192675,ok
docomo,東海,三重県,ドコモショップ津北店,514-0061 三重県津市一身田上津部田70,https://shop.smt.docomo.ne.jp/shop_detail/0400501109700/index.html,34.746650833333,136.50360083333,ok
docomo,東海,三重県,ドコモショップ尾鷲店,519-3658 三重県尾鷲市倉ノ谷町10-26,https://shop.smt.docomo.ne.jp/shop_detail/0400500142500/index.html,34.075328055556,136.18824527778,ok
