キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,九州・沖縄,宮崎県,ａｕショップ イオンモール宮崎,880-0834 宮崎県宮崎市新別府町江口８６２－１　イオンモール宮崎２階２００６－Ｂ区画,https://www.au.com/storelocator/detail/?shopId=Q-00676,31.922730,131.455910,ok
au,九州・沖縄,宮崎県,ａｕショップ ベアーズモール清武,889-1603 宮崎県宮崎市清武町正手２－３７－８,https://www.au.com/storelocator/detail/?shopId=Q-00799,31.860982,131.387575,ok
au,九州・沖縄,宮崎県,ａｕショップ 延岡多々良,882-0056 宮崎県延岡市岡富町１１９,https://www.au.com/storelocator/detail/?shopId=Q-00422,32.591023,131.658281,ok
au,九州・沖縄,宮崎県,ａｕショップ 花繰,885-0037 宮崎県都城市花繰町２０－５,https://www.au.com/storelocator/detail/?shopId=Q-00151,31.726435,131.086629,ok
au,九州・沖縄,宮崎県,ａｕショップ 宮崎県病院前,880-0015 宮崎県宮崎市大工１－１０６－２,https://www.au.com/storelocator/detail/?shopId=Q-00753,31.917861,131.415780,ok
au,九州・沖縄,宮崎県,ａｕショップ 宮崎大塚,880-0951 宮崎県宮崎市大塚町宮田２９３５,https://www.au.com/storelocator/detail/?shopId=Q-00127,31.914430,131.396765,ok
au,九州・沖縄,宮崎県,ａｕショップ 五十市,885-0084 宮崎県都城市五十町２３５２－１,https://www.au.com/storelocator/detail/?shopId=Q-00690,31.717930,131.030706,ok
au,九州・沖縄,宮崎県,ａｕショップ 高千穂,882-1101 宮崎県西臼杵郡高千穂町三田井５０４－４,https://www.au.com/storelocator/detail/?shopId=Q-00061,32.714996,131.315130,ok
au,九州・沖縄,宮崎県,ａｕショップ 高鍋,884-0002 宮崎県児湯郡高鍋町大字北高鍋字下畑田１７３－１,https://www.au.com/storelocator/detail/?shopId=Q-00053,32.131462,131.507535,ok
au,九州・沖縄,宮崎県,ａｕショップ 佐土原,880-0211 宮崎県宮崎市佐土原町下田島２０１２０－３５,https://www.au.com/storelocator/detail/?shopId=Q-00426,32.018401,131.476366,ok
au,九州・沖縄,宮崎県,ａｕショップ 出北,882-0855 宮崎県延岡市卸本町９－１４,https://www.au.com/storelocator/detail/?shopId=Q-00423,32.576309,131.685228,ok
au,九州・沖縄,宮崎県,ａｕショップ 小林中央,886-0003 宮崎県小林市堤２９７７番７２,https://www.au.com/storelocator/detail/?shopId=Q-00692,31.984144,130.993545,ok
au,九州・沖縄,宮崎県,ａｕショップ 大淀,880-0901 宮崎県宮崎市東大淀2-2-20,https://www.au.com/storelocator/detail/?shopId=Q-00725,31.894618,131.421468,ok
au,九州・沖縄,宮崎県,ａｕショップ 都城早鈴,885-0055 宮崎県都城市早鈴町１７５２番１,https://www.au.com/storelocator/detail/?shopId=Q-00343,31.718118,131.073944,ok
au,九州・沖縄,宮崎県,ａｕショップ 都北,885-0004 宮崎県都城市都北町５６７１,https://www.au.com/storelocator/detail/?shopId=Q-00386,31.762499,131.088553,ok
au,九州・沖縄,宮崎県,ａｕショップ 南宮崎,880-0916 宮崎県宮崎市恒久草葉９２４,https://www.au.com/storelocator/detail/?shopId=Q-00101,31.881313,131.426558,ok
au,九州・沖縄,宮崎県,ａｕショップ 日向学院前,880-0879 宮崎県宮崎市宮崎駅東2丁目4-12,https://www.au.com/storelocator/detail/?shopId=Q-00813,31.917738,131.435750,ok
au,九州・沖縄,宮崎県,ａｕショップ 日向中央,883-0013 宮崎県日向市新生町1丁目１０６番地,https://www.au.com/storelocator/detail/?shopId=Q-00429,32.419925,131.631055,ok
au,九州・沖縄,宮崎県,ａｕショップ 日南吾田,889-2536 宮崎県日南市吾田西2丁目1番20号,https://www.au.com/storelocator/detail/?shopId=Q-00156,31.611285,131.372375,ok
au,九州・沖縄,宮崎県,ａｕショップ 平原,882-0866 宮崎県延岡市平原町5丁目692-1,https://www.au.com/storelocator/detail/?shopId=Q-00425,32.553190,131.678425,ok
au,九州・沖縄,宮崎県,ａｕショップ 平和台(宮崎県),880-0024 宮崎県宮崎市祇園３－１９６－１,https://www.au.com/storelocator/detail/?shopId=Q-00348,31.937181,131.412346,ok
docomo,九州,宮崎県,ドコモショップイオンタウン日向店,883-0064 宮崎県日向市日知屋古田町1-61,https://shop.smt.docomo.ne.jp/shop_detail/0901900266900/index.html,32.425473055556,131.65273194444,ok
docomo,九州,宮崎県,ドコモショップイオンモール都城駅前店,885-0023 宮崎県都城市栄町5-72 イオンモール都城駅前,https://shop.smt.docomo.ne.jp/shop_detail/0901900491400/index.html,31.735230555556,131.07995,ok
docomo,九州,宮崎県,ドコモショップイオン延岡ＳＣ店,882-0847 宮崎県延岡市旭町2-1 イオン延岡ショッピングセンター,https://shop.smt.docomo.ne.jp/shop_detail/0901900535700/index.html,32.572944444444,131.67027777778,ok
docomo,九州,宮崎県,ドコモショップフェニックスガーデンうきのじょう店,880-0844 宮崎県宮崎市柳丸町150 フェニックスガーデンうきのじょう内,https://shop.smt.docomo.ne.jp/shop_detail/0901900050100/index.html,31.927777777778,131.43666666667,ok
docomo,九州,宮崎県,ドコモショップベアーズモール清武店,889-1603 宮崎県宮崎市清武町正手2-37-8,https://shop.smt.docomo.ne.jp/shop_detail/0901900191300/index.html,31.860938333333,131.38850222222,ok
docomo,九州,宮崎県,ドコモショップ延岡駅前店,882-0053 宮崎県延岡市幸町2-128,https://shop.smt.docomo.ne.jp/shop_detail/0901900046200/index.html,32.588310555556,131.67084305556,ok
docomo,九州,宮崎県,ドコモショップ花山手バイパス店,880-0930 宮崎県宮崎市花山手東1-20-2,https://shop.smt.docomo.ne.jp/shop_detail/0901900066500/index.html,31.902503888889,131.40591777778,ok
docomo,九州,宮崎県,ドコモショップ宮崎大塚店,880-0951 宮崎県宮崎市大塚町樋ノ口1931,https://shop.smt.docomo.ne.jp/shop_detail/0950058800200/index.html,31.918399166667,131.39898416667,ok
docomo,九州,宮崎県,ドコモショップ宮崎東店,880-0841 宮崎県宮崎市吉村町長田甲2359,https://shop.smt.docomo.ne.jp/shop_detail/0901900538900/index.html,31.912308333333,131.44717277778,ok
docomo,九州,宮崎県,ドコモショップ串間店,888-0011 宮崎県串間市寺里7-1,https://shop.smt.docomo.ne.jp/shop_detail/0901900458100/index.html,31.456734444444,131.21943722222,ok
docomo,九州,宮崎県,ドコモショップ江平店,880-0051 宮崎県宮崎市江平西2-1-47,https://shop.smt.docomo.ne.jp/shop_detail/0901900027900/index.html,31.928342777778,131.42619777778,ok
docomo,九州,宮崎県,ドコモショップ高鍋店,884-0002 宮崎県児湯郡高鍋町大字北高鍋1-34,https://shop.smt.docomo.ne.jp/shop_detail/0901900052900/index.html,32.125463888889,131.52090611111,ok
docomo,九州,宮崎県,ドコモショップ国富店,880-1113 宮崎県東諸県郡国富町大字木脇5-99,https://shop.smt.docomo.ne.jp/shop_detail/0901900308700/index.html,31.983238055556,131.36615472222,ok
docomo,九州,宮崎県,ドコモショップ佐土原店,880-0212 宮崎県宮崎市佐土原町下那珂字中溝2642,https://shop.smt.docomo.ne.jp/shop_detail/0901900230500/index.html,32.0084125,131.47378833333,ok
docomo,九州,宮崎県,ドコモショップ小林駅前店,886-0004 宮崎県小林市大字細野1-00,https://shop.smt.docomo.ne.jp/shop_detail/0901900220100/index.html,31.992521944444,130.97753666667,ok
docomo,九州,宮崎県,ドコモショップ小林店,886-0002 宮崎県小林市大字水流迫231-3 マローズ小林店敷地内,https://shop.smt.docomo.ne.jp/shop_detail/0901900050200/index.html,31.982284722222,131.000585,ok
docomo,九州,宮崎県,ドコモショップ西都店,881-0033 宮崎県西都市大字妻字平田1654-1,https://shop.smt.docomo.ne.jp/shop_detail/0950058300300/index.html,32.104445833333,131.39916722222,ok
