キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,北陸・甲信越,長野県,ａｕショップ イオンモール須坂,382-8501 長野県須坂市大字福島386番地1,https://www.au.com/storelocator/detail/?shopId=N-00492,36.640027,138.273599,ok
au,北陸・甲信越,長野県,ａｕショップ 梓川,390-1701 長野県松本市梓川倭２３９４－６,https://www.au.com/storelocator/detail/?shopId=N-00285,36.242003,137.890626,ok
au,北陸・甲信越,長野県,ａｕショップ 伊那,396-0012 長野県伊那市上新田2665-1,https://www.au.com/storelocator/detail/?shopId=N-00256,35.828227,137.962865,ok
au,北陸・甲信越,長野県,ａｕショップ 塩尻,399-0742 長野県塩尻市大門泉町１３００－１１,https://www.au.com/storelocator/detail/?shopId=N-00280,36.118974,137.959377,ok
au,北陸・甲信越,長野県,ａｕショップ 塩尻広丘,399-0702 長野県塩尻市広丘野村１５０１－６,https://www.au.com/storelocator/detail/?shopId=N-00257,36.140682,137.952865,ok
au,北陸・甲信越,長野県,ａｕショップ 下諏訪,393-0047 長野県諏訪郡下諏訪町西赤砂4383-2,https://www.au.com/storelocator/detail/?shopId=N-00275,36.066203,138.075011,ok
au,北陸・甲信越,長野県,ａｕショップ 茅野,391-0001 長野県茅野市ちの２８３５－２,https://www.au.com/storelocator/detail/?shopId=N-00283,35.994103,138.145210,ok
au,北陸・甲信越,長野県,ａｕショップ 駒ヶ根,399-4117 長野県駒ヶ根市赤穂1568,https://www.au.com/storelocator/detail/?shopId=N-00501,35.741504,137.927385,ok
au,北陸・甲信越,長野県,ａｕショップ 更埴,387-0012 長野県千曲市大字桜堂字水引278-2,https://www.au.com/storelocator/detail/?shopId=N-00263,36.527585,138.123501,ok
au,北陸・甲信越,長野県,ａｕショップ 佐久北インター,384-0808 長野県小諸市大字御影新田字香久保２５８７－１,https://www.au.com/storelocator/detail/?shopId=N-00262,36.298467,138.468094,ok
au,北陸・甲信越,長野県,ａｕショップ 佐久野沢,385-0053 長野県佐久市大字野沢字辻５８６－１,https://www.au.com/storelocator/detail/?shopId=N-00282,36.224653,138.456756,ok
au,北陸・甲信越,長野県,ａｕショップ 松本空港,390-1243 長野県松本市神林２５３７－２,https://www.au.com/storelocator/detail/?shopId=N-00254,36.186593,137.932607,ok
au,北陸・甲信越,長野県,ａｕショップ 松本元町,390-0803 長野県松本市元町1-1-21,https://www.au.com/storelocator/detail/?shopId=N-00255,36.240118,137.980310,ok
au,北陸・甲信越,長野県,ａｕショップ 松本村井,399-0035 長野県松本市村井町北２－９－１８,https://www.au.com/storelocator/detail/?shopId=N-00286,36.183875,137.963538,ok
au,北陸・甲信越,長野県,ａｕショップ 上田秋和,386-0041 長野県上田市秋和字立石３３５－２,https://www.au.com/storelocator/detail/?shopId=N-00552,36.414871,138.223600,ok
au,北陸・甲信越,長野県,ａｕショップ 上田川西,386-1103 長野県上田市神畑164-5,https://www.au.com/storelocator/detail/?shopId=N-00271,36.389123,138.213501,ok
au,北陸・甲信越,長野県,ａｕショップ 上田大屋,389-0505 長野県東御市和　字　丸山　1052-2,https://www.au.com/storelocator/detail/?shopId=N-00284,36.369130,138.302107,ok
au,北陸・甲信越,長野県,ａｕショップ 諏訪,392-0012 長野県諏訪市四賀１８３０,https://www.au.com/storelocator/detail/?shopId=N-00268,36.017078,138.125127,ok
au,北陸・甲信越,長野県,ａｕショップ 大町(長野県),398-0002 長野県大町市旭町２９４５－６,https://www.au.com/storelocator/detail/?shopId=N-00281,36.495005,137.861701,ok
au,北陸・甲信越,長野県,ａｕショップ 中野（長野県）,383-0051 長野県中野市大字　七瀬　字　前田77-1,https://www.au.com/storelocator/detail/?shopId=N-00261,36.752068,138.349700,ok
au,北陸・甲信越,長野県,ａｕショップ 長野篠ノ井,381-2224 長野県長野市川中島町原字権現堂沖762-1,https://www.au.com/storelocator/detail/?shopId=N-00410,36.582301,138.149458,ok
au,北陸・甲信越,長野県,ａｕショップ 長野若槻,381-0042 長野県長野市稲田１丁目１４－２５,https://www.au.com/storelocator/detail/?shopId=N-00489,36.674921,138.217881,ok
