キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,近畿,奈良県,au Style イオンモール奈良登美ヶ丘,630-0115 奈良県生駒市鹿畑町３０２７番地　イオンモール奈良登美ヶ丘１Ｆ　　,https://www.au.com/storelocator/detail/?shopId=K-00845,34.726108,135.751278,ok
au,近畿,奈良県,au Style ならファミリー,631-0821 奈良県奈良市西大寺東町2-4-1　イオンスタイル奈良1階,https://www.au.com/storelocator/detail/?shopId=K-00063,34.695652,135.785483,ok
au,近畿,奈良県,au Style 王寺,636-0002 奈良県北葛城郡王寺町王寺２－８－５,https://www.au.com/storelocator/detail/?shopId=K-00245,34.595318,135.705695,ok
au,近畿,奈良県,ａｕショップ イオンモール橿原,634-0837 奈良県橿原市曲川町7-20-1　イオンモール橿原3F,https://www.au.com/storelocator/detail/?shopId=K-00803,34.506806,135.763357,ok
au,近畿,奈良県,ａｕショップ イオンモール大和郡山,639-1101 奈良県大和郡山市下三橋町741,https://www.au.com/storelocator/detail/?shopId=K-00732,34.651300,135.801682,ok
au,近畿,奈良県,ａｕショップ ラスパ西大和,639-0218 奈良県北葛城郡上牧町ささゆり台1-1-1,https://www.au.com/storelocator/detail/?shopId=K-00791,34.566335,135.721457,ok
au,近畿,奈良県,ａｕショップ 押熊,631-0011 奈良県奈良市押熊町１０７０－２,https://www.au.com/storelocator/detail/?shopId=K-00217,34.722843,135.770759,ok
au,近畿,奈良県,ａｕショップ 学園前,631-0052 奈良県奈良市中町１－７８　フレスポ奈良学園前,https://www.au.com/storelocator/detail/?shopId=K-00032,34.684968,135.754865,ok
au,近畿,奈良県,ａｕショップ 橿原,634-0003 奈良県橿原市常磐町５３４－６,https://www.au.com/storelocator/detail/?shopId=K-00365,34.521252,135.812041,ok
au,近畿,奈良県,ａｕショップ 橿原神宮前,634-0063 奈良県橿原市久米町６５０－２,https://www.au.com/storelocator/detail/?shopId=K-00291,34.483670,135.796022,ok
au,近畿,奈良県,ａｕショップ 葛城,639-2126 奈良県葛城市南花内１０５－１,https://www.au.com/storelocator/detail/?shopId=K-00733,34.481013,135.732555,ok
au,近畿,奈良県,ａｕショップ 香芝,639-0265 奈良県香芝市上中７８６－１,https://www.au.com/storelocator/detail/?shopId=K-00616,34.557197,135.699886,ok
