キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,九州・沖縄,大分県,au Style イオンモール三光,871-0111 大分県中津市三光佐知１０３２　　イオンモール三光１Ｆ　（１１２区画）　,https://www.au.com/storelocator/detail/?shopId=Q-00862,33.555714,131.195610,ok
au,九州・沖縄,大分県,ａｕショップ コスモタウン佐伯,876-0852 大分県佐伯市鶴岡西町2丁目199番地,https://www.au.com/storelocator/detail/?shopId=Q-00470,32.960356,131.865167,ok
au,九州・沖縄,大分県,ａｕショップ トキハわさだ,870-1155 大分県大分市玉沢７５５－１　１F,https://www.au.com/storelocator/detail/?shopId=Q-00818,33.187879,131.580314,ok
au,九州・沖縄,大分県,ａｕショップ パークプレイス大分,870-0174 大分県大分市公園通り西2丁目1番,https://www.au.com/storelocator/detail/?shopId=Q-00485,33.196048,131.657652,ok
au,九州・沖縄,大分県,ａｕショップ 宇佐中央,879-0471 大分県宇佐市四日市５００番,https://www.au.com/storelocator/detail/?shopId=Q-00159,33.535417,131.321937,ok
au,九州・沖縄,大分県,ａｕショップ 羽屋,870-0854 大分県大分市羽屋新町２丁目１番１号,https://www.au.com/storelocator/detail/?shopId=Q-00619,33.213928,131.596412,ok
au,九州・沖縄,大分県,ａｕショップ 下郡,870-0952 大分県大分市下郡北１－４－１７,https://www.au.com/storelocator/detail/?shopId=Q-00347,33.228815,131.628624,ok
au,九州・沖縄,大分県,ａｕショップ 光吉インター,870-1133 大分県大分市宮崎８３２－３,https://www.au.com/storelocator/detail/?shopId=Q-00060,33.198804,131.607702,ok
au,九州・沖縄,大分県,ａｕショップ 高城,870-0918 大分県大分市日吉町12-30,https://www.au.com/storelocator/detail/?shopId=Q-00095,33.244206,131.652440,ok
au,九州・沖縄,大分県,ａｕショップ 大在,870-0242 大分県大分市角子南１－２－５,https://www.au.com/storelocator/detail/?shopId=Q-00272,33.243816,131.707522,ok
au,九州・沖縄,大分県,ａｕショップ 大分小池原,870-0147 大分県大分市大字小池原１４５８－１,https://www.au.com/storelocator/detail/?shopId=Q-00332,33.235361,131.661049,ok
au,九州・沖縄,大分県,ａｕショップ 竹田,878-0025 大分県竹田市大字拝田原７７１－１,https://www.au.com/storelocator/detail/?shopId=Q-00044,32.954526,131.374894,ok
au,九州・沖縄,大分県,ａｕショップ 中津中央,871-0030 大分県中津市中殿町４丁目７－１０,https://www.au.com/storelocator/detail/?shopId=Q-00045,33.593414,131.197492,ok
au,九州・沖縄,大分県,ａｕショップ 中津東,871-0014 大分県中津市一ツ松１１６－４,https://www.au.com/storelocator/detail/?shopId=Q-00163,33.590350,131.206347,ok
au,九州・沖縄,大分県,ａｕショップ 鶴崎,870-0128 大分県大分市大字森643番,https://www.au.com/storelocator/detail/?shopId=Q-00164,33.217149,131.680612,ok
au,九州・沖縄,大分県,ａｕショップ 日出,879-1506 大分県速見郡日出町３８５２番地７,https://www.au.com/storelocator/detail/?shopId=Q-00712,33.375024,131.531913,ok
au,九州・沖縄,大分県,ａｕショップ 日田,877-1234 大分県日田市天神町１５４,https://www.au.com/storelocator/detail/?shopId=Q-00405,33.337883,130.940827,ok
au,九州・沖縄,大分県,ａｕショップ 府内町,870-0021 大分県大分市府内町１－２－４  ＨＩＨビル１階,https://www.au.com/storelocator/detail/?shopId=Q-00225,33.236069,131.607659,ok
au,九州・沖縄,大分県,ａｕショップ 別府石垣,874-0919 大分県別府市石垣東10丁目7-14,https://www.au.com/storelocator/detail/?shopId=Q-00364,33.305650,131.497244,ok
au,九州・沖縄,大分県,ａｕショップ 別府中央,874-0926 大分県別府市京町１０－１６,https://www.au.com/storelocator/detail/?shopId=Q-00721,33.287829,131.503765,ok
docomo,九州,大分県,ドコモショップコスモタウン佐伯店,876-0047 大分県佐伯市鶴岡西町２丁目234,https://shop.smt.docomo.ne.jp/shop_detail/0970090960100/index.html,32.960685555556,131.86374111111,ok
docomo,九州,大分県,ドコモショップトキハわさだ店,870-1155 大分県大分市大字玉沢755-1 トキハわさだタウン３街区フェスティバルタウン,https://shop.smt.docomo.ne.jp/shop_detail/0901900192200/index.html,33.189045277778,131.58265638889,ok
