キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,九州・沖縄,沖縄県,au Style NAHA,900-0015 沖縄県那覇市久茂地１－１－１　パレットくもじ7F　,https://www.au.com/storelocator/detail/?shopId=O-00257,26.213503,127.678959,ok
au,九州・沖縄,沖縄県,au Style あわせベイストリート,904-2172 沖縄県沖縄市泡瀬5-1-11,https://www.au.com/storelocator/detail/?shopId=O-00344,26.321633,127.832148,ok
au,九州・沖縄,沖縄県,au Style イオンモール沖縄ライカム,901-2300 沖縄県中頭郡北中城村字ライカム1番地　3階,https://www.au.com/storelocator/detail/?shopId=O-00282,26.314308,127.796542,ok
au,九州・沖縄,沖縄県,au Style イオン那覇,901-0155 沖縄県那覇市那覇市 金城5-10-2 3階「ゲームセンター横」,https://www.au.com/storelocator/detail/?shopId=O-00365,26.196956,127.665770,ok
au,九州・沖縄,沖縄県,au Style きょうづか,901-2111 沖縄県浦添市経塚382,https://www.au.com/storelocator/detail/?shopId=O-00370,26.234660,127.725493,ok
au,九州・沖縄,沖縄県,au Style サンエーハンビータウン,904-0117 沖縄県中頭郡北谷町北前1-2-3　1階,https://www.au.com/storelocator/detail/?shopId=O-00341,26.301704,127.760293,ok
au,九州・沖縄,沖縄県,au Style サンエー石垣シティ,907-0002 沖縄県石垣市真栄里３０１－１,https://www.au.com/storelocator/detail/?shopId=O-00352,24.341718,124.181091,ok
au,九州・沖縄,沖縄県,au Style サンエー大湾シティ,904-0313 沖縄県中頭郡読谷村ときわ33番地19,https://www.au.com/storelocator/detail/?shopId=O-00312,26.376698,127.756071,ok
au,九州・沖縄,沖縄県,au Style サンエー板良敷,901-1301 沖縄県島尻郡与那原町字板良敷621番地,https://www.au.com/storelocator/detail/?shopId=O-00268,26.191785,127.770792,ok
au,九州・沖縄,沖縄県,au Style みやこじま中央,906-0012 沖縄県宮古島市平良西里772-23,https://www.au.com/storelocator/detail/?shopId=O-00367,24.800352,125.288203,ok
au,九州・沖縄,沖縄県,au Style 浦添パルコシティ,901-2123 沖縄県浦添市西洲3丁目1-1 サンエー浦添西海岸PARCOCITY 3F,https://www.au.com/storelocator/detail/?shopId=O-00253,26.262179,127.698611,ok
au,九州・沖縄,沖縄県,au Style 宮里中学前,904-2165 沖縄県沖縄市東２－１５－１,https://www.au.com/storelocator/detail/?shopId=O-00290,26.342671,127.823919,ok
au,九州・沖縄,沖縄県,au Style 新都心,900-0004 沖縄県那覇市銘苅２丁目１-３０,https://www.au.com/storelocator/detail/?shopId=O-00318,26.229556,127.698116,ok
au,九州・沖縄,沖縄県,au Style 美里,904-2153 沖縄県沖縄市美原３丁目22番6号,https://www.au.com/storelocator/detail/?shopId=O-00343,26.351737,127.817631,ok
au,九州・沖縄,沖縄県,au Style 名護,905-0016 沖縄県名護市大南2-7-16,https://www.au.com/storelocator/detail/?shopId=O-00303,26.592956,127.976740,ok
au,九州・沖縄,沖縄県,ａｕショップ イーアス沖縄豊崎,901-0225 沖縄県豊見城市豊崎3-35　,https://www.au.com/storelocator/detail/?shopId=O-00258,26.157212,127.651369,ok
