キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,近畿,大阪府,au Style ABENO,545-0052 大阪府大阪市阿倍野区阿倍野筋1-2-30 Hoop 2階,https://www.au.com/storelocator/detail/?shopId=K-00807,34.645195,135.513855,ok
au,近畿,大阪府,au Style OSAKA,530-0011 大阪府大阪市北区大深町３－１　グランフロント大阪 北館　ナレッジキャピタル２Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00783,34.706007,135.494277,ok
au,近畿,大阪府,au Style SHINSAIBASHI,542-0085 大阪府大阪市中央区心斎橋筋一丁目6番5号 心斎橋グローブ1F,https://www.au.com/storelocator/detail/?shopId=K-00817,34.672294,135.501234,ok
au,近畿,大阪府,au Style アリオ八尾,581-0803 大阪府八尾市光町２－３－３　　アリオモール３Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00755,34.632509,135.605869,ok
au,近畿,大阪府,au Style イオンモールりんくう泉南,590-0535 大阪府泉南市りんくう南浜3-12　イオンモールりんくう泉南2F,https://www.au.com/storelocator/detail/?shopId=K-00814,34.381405,135.268311,ok
au,近畿,大阪府,au Style イオンモール茨木,567-0033 大阪府茨木市松ヶ本町8-30　イオンモール茨木3F,https://www.au.com/storelocator/detail/?shopId=K-00867,34.810753,135.558289,ok
au,近畿,大阪府,au Style ジョイパーク泉ヶ丘,590-0111 大阪府堺市南区三原台1-1-3　ジョイパーク泉ヶ丘2F,https://www.au.com/storelocator/detail/?shopId=K-00083,34.498625,135.514169,ok
au,近畿,大阪府,au Style なんばウォーク,542-0074 大阪府大阪市中央区千日前1丁目虹のまち５－１,https://www.au.com/storelocator/detail/?shopId=K-00546,34.667220,135.503608,ok
au,近畿,大阪府,au Style ホワイティうめだ,530-0013 大阪府大阪市北区茶屋町梅田地下街１－４,https://www.au.com/storelocator/detail/?shopId=K-00582,34.704982,135.499120,ok
au,近畿,大阪府,au Style みのおキューズモール,562-0034 大阪府箕面市西宿１－１３－１０　ＥＡＳＴ２－２１１,https://www.au.com/storelocator/detail/?shopId=K-00570,34.832417,135.490691,ok
au,近畿,大阪府,au Style ららぽーと堺,587-8577 大阪府堺市美原区黒山22-1　ららぽーと堺 3F,https://www.au.com/storelocator/detail/?shopId=K-00866,34.540641,135.560709,ok
au,近畿,大阪府,au Style ららぽーと門真,571-8620 大阪府門真市松生町1-11　ららぽーと門真3F,https://www.au.com/storelocator/detail/?shopId=K-00869,34.732710,135.584089,ok
au,近畿,大阪府,au Style 外環八尾柏原,581-0034 大阪府八尾市弓削町南３丁目３２－１,https://www.au.com/storelocator/detail/?shopId=K-00149,34.595080,135.613994,ok
