キャリア,地域,都道府県,店名,住所,URL,店舗コード,開店日,緯度,経度,取得元,取得日
rakuten,東海,愛知県,MIKAWA MOBILE西尾,445-0073 愛知県西尾市寄住町洲田35 第一神谷ビル 1F A,https://network.mobile.rakuten.co.jp/shop-detail/1314/,1314,2025-12-26,34.86447896056137,137.06316491114077,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,NAGOYA MOBILE伏見,460-0008 愛知県名古屋市中区栄1丁目5-8 藤田ビル3F,https://network.mobile.rakuten.co.jp/shop-detail/8502/,8502,2024-03-01,35.16799604234574,136.89726931534392,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,YAMADA web.com 千種センター店,464-0075 愛知県名古屋市千種区内山1丁目20-37,https://network.mobile.rakuten.co.jp/shop-detail/8949/,8949,2025-11-01,35.17239865,136.935648,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン イオンタウン岡崎美合店,444-0802 愛知県岡崎市美合町字つむぎ南1-1 イオンタウン岡崎美合,https://network.mobile.rakuten.co.jp/shop-detail/7722/,7722,2020-11-24,34.92584,137.186806,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン イオンタウン刈谷店,448-0007 愛知県刈谷市東境町京和1 イオンタウン刈谷内,https://network.mobile.rakuten.co.jp/shop-detail/4061/,4061,2018-08-01,35.037437,137.026791,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン イオンタウン弥富店,498-0014 愛知県弥富市五明町蒲原1371-4 イオンタウン弥富内,https://network.mobile.rakuten.co.jp/shop-detail/7091/,7091,2019-08-30,35.114999,136.714999,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン イオンモール東浦店,470-2102 愛知県知多郡東浦町大字緒川字旭13-2 イオンモール東浦 2F,https://network.mobile.rakuten.co.jp/shop-detail/8737/,8737,2025-10-01,34.97995696,136.973838,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン イオンモール扶桑店,480-0105 愛知県丹羽郡扶桑町大字南山名高塚5-1 イオンモール扶桑1F,https://network.mobile.rakuten.co.jp/shop-detail/4401/,4401,2018-08-31,35.362037,136.898686,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン メッツ大曽根店,461-0040 愛知県名古屋市東区矢田2丁目1-95 メッツ大曽根内,https://network.mobile.rakuten.co.jp/shop-detail/3141/,3141,2018-03-21,35.1923381,136.940575,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 安城店,446-0057 愛知県安城市三河安城東町1丁目17-1,https://network.mobile.rakuten.co.jp/shop-detail/0721/,0721,2015-11-26,34.9630149,137.068275,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 一宮西店,491-0903 愛知県一宮市八幡5丁目1-16,https://network.mobile.rakuten.co.jp/shop-detail/8734/,8734,2025-10-20,35.30583413659374,136.78488504632892,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 一宮本店,491-0862 愛知県一宮市緑5丁目6-10,https://network.mobile.rakuten.co.jp/shop-detail/0741/,0741,2018-04-20,35.2974248,136.823341,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 岡崎本店,444-0859 愛知県岡崎市上六名町宮前1,https://network.mobile.rakuten.co.jp/shop-detail/0731/,0731,2018-04-05,34.9509277,137.156579,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 高針原店,465-0073 愛知県名古屋市名東区高針原2丁目1604,https://network.mobile.rakuten.co.jp/shop-detail/1008/,1008,2025-11-21,35.146433,136.995193,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 高辻シャンピアポート店,466-0058 愛知県名古屋市昭和区白金3丁目6-24 シャンピアポ-ト内,https://network.mobile.rakuten.co.jp/shop-detail/4741/,4741,2018-09-27,35.142573,136.916576,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 柴田店,457-0806 愛知県名古屋市南区鳴浜町5丁目1-1,https://network.mobile.rakuten.co.jp/shop-detail/8290/,8290,2022-04-25,35.0751246,136.9175785,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 小牧店,485-0046 愛知県小牧市堀の内4丁目140-1,https://network.mobile.rakuten.co.jp/shop-detail/7840/,7840,2021-10-01,35.28664935,136.9098162,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
