キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,関東,埼玉県,au Style HONJOWASEDA,367-0030 埼玉県本庄市早稲田の杜一丁目7番4号,https://www.au.com/storelocator/detail/?shopId=E-01267,36.219830,139.179691,ok
au,関東,埼玉県,au Style OMIYA,330-9501 埼玉県さいたま市大宮区桜木町２－３　大宮マルイ２階,https://www.au.com/storelocator/detail/?shopId=E-01299,35.906883,139.621814,ok
au,関東,埼玉県,au Style TOKOROZAWA,359-0037 埼玉県所沢市くすのき台1丁目14番地5　グランエミオ所沢　3F,https://www.au.com/storelocator/detail/?shopId=E-01308,35.786948,139.474075,ok
au,関東,埼玉県,au Style アリオ上尾,362-0081 埼玉県上尾市壱丁目北29番地14　アリオ上尾１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-01218,35.961586,139.565334,ok
au,関東,埼玉県,au Style イオンモール川口,333-0834 埼玉県川口市安行領根岸3180,https://www.au.com/storelocator/detail/?shopId=E-01316,35.837897,139.722364,ok
au,関東,埼玉県,au Style イオンモール川口前川,333-0842 埼玉県川口市前川１丁目１－１１　イオンモール川口前川　２階,https://www.au.com/storelocator/detail/?shopId=E-01439,35.833252,139.707019,ok
au,関東,埼玉県,au Style イオンモール与野,338-0004 埼玉県さいたま市中央区本町西５丁目２の９　イオンモール与野1F,https://www.au.com/storelocator/detail/?shopId=E-01441,35.890884,139.614966,ok
au,関東,埼玉県,au Style さいたま新都心,330-0843 埼玉県さいたま市大宮区吉敷町４－２６７－２　コクーン１北館２Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00234,35.894746,139.636072,ok
au,関東,埼玉県,au Style ピオニウォーク東松山,355-0048 埼玉県東松山市あずま町４丁目３,https://www.au.com/storelocator/detail/?shopId=E-01119,36.005393,139.410031,ok
au,関東,埼玉県,au Style ふじみ野,354-0035 埼玉県富士見市ふじみ野西１－１７－８　カーサ・アンジェロ１０５,https://www.au.com/storelocator/detail/?shopId=E-00236,35.858810,139.519408,ok
au,関東,埼玉県,au Style フレスポ八潮,340-0822 埼玉県八潮市大瀬1-1-3　フレスポ八潮2F　2050・2060区画,https://www.au.com/storelocator/detail/?shopId=E-00763,35.809050,139.844335,ok
au,関東,埼玉県,au Style 熊谷西,360-0813 埼玉県熊谷市円光１丁目２－３４,https://www.au.com/storelocator/detail/?shopId=E-00817,36.152793,139.383743,ok
au,関東,埼玉県,au Style 坂戸,350-0269 埼玉県坂戸市にっさい花みず木３－１１－７,https://www.au.com/storelocator/detail/?shopId=E-00359,35.969360,139.372044,ok
au,関東,埼玉県,au Style 三郷中央,341-0038 埼玉県三郷市中央３－４－７,https://www.au.com/storelocator/detail/?shopId=E-01125,35.826630,139.877769,ok
au,関東,埼玉県,au Style 志木南口,352-0001 埼玉県新座市東北２－３１－１４　第２福島ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-01189,35.821201,139.574423,ok
au,関東,埼玉県,au Style 春日部東口,344-0061 埼玉県春日部市粕壁１－７－３　岡安ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00938,35.981047,139.752996,ok
au,関東,埼玉県,au Style 新越谷ヴァリエ,343-0845 埼玉県越谷市南越谷1-11-4 新越谷ヴァリエ2F　,https://www.au.com/storelocator/detail/?shopId=E-01199,35.875539,139.789817,ok
au,関東,埼玉県,au Style 西区役所前,331-0046 埼玉県さいたま市西区宮前町７２２－２,https://www.au.com/storelocator/detail/?shopId=E-01063,35.924048,139.582558,ok
au,関東,埼玉県,au Style 川越中央,350-1122 埼玉県川越市脇田町１７－８　アトランタビル弐号館１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00129,35.908853,139.484299,ok
au,関東,埼玉県,au Style 草加東口,340-0015 埼玉県草加市高砂２－２１－２２,https://www.au.com/storelocator/detail/?shopId=E-00760,35.827920,139.807208,ok
au,関東,埼玉県,au Style 大宮ステラタウン,331-0812 埼玉県さいたま市北区宮原町１－８５４－１　大宮ステラタウン２Ｆ,https://www.au.com/storelocator/detail/?shopId=E-01096,35.932918,139.623103,ok
au,関東,埼玉県,au Style 谷塚,340-0022 埼玉県草加市瀬崎２－５－１４,https://www.au.com/storelocator/detail/?shopId=E-01173,35.816307,139.804279,ok
