キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,近畿,滋賀県,au Style イオンタウン湖南,520-3252 滋賀県湖南市岩根４５８０ イオンタウン湖南1F,https://www.au.com/storelocator/detail/?shopId=K-00871,34.993948,136.107764,ok
au,近畿,滋賀県,au Style イオンタウン彦根,522-0007 滋賀県彦根市古沢町２５５－１　　イオンタウン彦根　　,https://www.au.com/storelocator/detail/?shopId=K-00837,35.270599,136.268939,ok
au,近畿,滋賀県,au Style フォレオ大津一里山,520-2153 滋賀県大津市一里山７－１－１フォレオ大津一里山２Ｆ,https://www.au.com/storelocator/detail/?shopId=K-00818,34.974664,135.933596,ok
au,近畿,滋賀県,au Style 栗東,520-3026 滋賀県栗東市下鈎１１４４－１,https://www.au.com/storelocator/detail/?shopId=K-00597,35.032382,135.980710,ok
au,近畿,滋賀県,au Style 守山,524-0012 滋賀県守山市播磨田町３００４-２,https://www.au.com/storelocator/detail/?shopId=K-00235,35.068774,135.993566,ok
au,近畿,滋賀県,au Style 長浜,526-0031 滋賀県長浜市八幡東町24-1,https://www.au.com/storelocator/detail/?shopId=K-00247,35.385521,136.283887,ok
au,近畿,滋賀県,au Style 八日市,527-0023 滋賀県東近江市八日市緑町２２－６,https://www.au.com/storelocator/detail/?shopId=K-00410,35.111104,136.209325,ok
au,近畿,滋賀県,au Style 野洲,520-2352 滋賀県野洲市冨波乙６１６－１,https://www.au.com/storelocator/detail/?shopId=K-00251,35.078347,136.031138,ok
au,近畿,滋賀県,ａｕショップ イオンモール草津,525-0067 滋賀県草津市新浜町３００番地　イオンモール草津内,https://www.au.com/storelocator/detail/?shopId=K-00567,34.997772,135.911030,ok
au,近畿,滋賀県,ａｕショップ 安曇川,520-1212 滋賀県高島市安曇川町西万木１１８,https://www.au.com/storelocator/detail/?shopId=K-00414,35.326738,136.026652,ok
au,近畿,滋賀県,ａｕショップ 河瀬,522-0223 滋賀県彦根市川瀬馬場７６９－２,https://www.au.com/storelocator/detail/?shopId=K-00667,35.227332,136.226713,ok
au,近畿,滋賀県,ａｕショップ 近江八幡,523-0896 滋賀県近江八幡市鷹飼町北１丁目９－９,https://www.au.com/storelocator/detail/?shopId=K-00359,35.128150,136.105937,ok
