キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,関東,東京都,au Style  UENO,110-0005 東京都台東区上野２－７－７ 上野HSビル,https://www.au.com/storelocator/detail/?shopId=E-01300,35.709331,139.773164,ok
au,関東,東京都,au Style HACHIOJI,192-0083 東京都八王子市旭町９－１八王子オクトーレ３Ｆ,https://www.au.com/storelocator/detail/?shopId=E-01305,35.657427,139.338766,ok
au,関東,東京都,au Style IKEBUKURO,170-0013 東京都豊島区東池袋１－１４－１　池袋スクエア １Ｆ/Ｂ１,https://www.au.com/storelocator/detail/?shopId=E-01307,35.730004,139.715184,ok
au,関東,東京都,au Style KICHIJOJI,180-8552 東京都武蔵野市吉祥寺南町１-７-１　丸井吉祥寺店　２階,https://www.au.com/storelocator/detail/?shopId=E-01311,35.702002,139.579321,ok
au,関東,東京都,au Style SHINJUKU,160-0022 東京都新宿区新宿　３丁目２５－１,https://www.au.com/storelocator/detail/?shopId=E-01181,35.692385,139.701890,ok
au,関東,東京都,au Style TACHIKAWA,190-0023 東京都立川市柴崎町３丁目１－１　エキュート立川　３階,https://www.au.com/storelocator/detail/?shopId=E-01297,35.698116,139.412772,ok
au,関東,東京都,au Style アルカキット錦糸町,130-0013 東京都墨田区錦糸２丁目２番１号　アルカキット錦糸町6F,https://www.au.com/storelocator/detail/?shopId=E-00356,35.697497,139.812391,ok
au,関東,東京都,au Style イオンモールむさし村山,208-0022 東京都武蔵村山市榎１丁目１－３　,https://www.au.com/storelocator/detail/?shopId=E-01338,35.746383,139.384799,ok
au,関東,東京都,au Style カメイドクロック,136-0071 東京都江東区亀戸6-31-6　カメイドクロック3階,https://www.au.com/storelocator/detail/?shopId=E-01324,35.696086,139.829142,ok
au,関東,東京都,au Style ららぽーと立川立飛,190-0015 東京都立川市泉町９３５－１　ららぽーと立川立飛３階,https://www.au.com/storelocator/detail/?shopId=E-01182,35.712558,139.417698,ok
au,関東,東京都,au Style 稲城矢野口,206-0812 東京都稲城市大字矢野口１６０３,https://www.au.com/storelocator/detail/?shopId=E-01157,35.637696,139.516627,ok
au,関東,東京都,au Style 荻窪駅前,167-0032 東京都杉並区天沼３－３－４,https://www.au.com/storelocator/detail/?shopId=E-00276,35.705538,139.620430,ok
au,関東,東京都,au Style 下北沢,155-0031 東京都世田谷区北沢２丁目１２－６　リバーストーンビル,https://www.au.com/storelocator/detail/?shopId=E-01276,35.660839,139.667688,ok
au,関東,東京都,au Style 久米川,189-0013 東京都東村山市栄町1-1-22　山本ビル1F,https://www.au.com/storelocator/detail/?shopId=E-00362,35.750507,139.471874,ok
au,関東,東京都,au Style 恵比寿,150-0013 東京都渋谷区恵比寿４－６－１　恵比寿ＭＦビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00391,35.645987,139.712387,ok
au,関東,東京都,au Style 光が丘,179-0075 東京都練馬区高松６－２－１５,https://www.au.com/storelocator/detail/?shopId=E-01013,35.757118,139.620535,ok
au,関東,東京都,au Style 光が丘ＩＭＡ,179-0072 東京都練馬区光が丘５－１－１　光が丘ＩＭＡ専門店街３Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00702,35.759191,139.628661,ok
au,関東,東京都,au Style 高島平,175-0082 東京都板橋区高島平８－１０－１０,https://www.au.com/storelocator/detail/?shopId=E-00373,35.789782,139.663941,ok
au,関東,東京都,au Style 国立,186-0004 東京都国立市中１－９－４,https://www.au.com/storelocator/detail/?shopId=E-00638,35.697773,139.446416,ok
au,関東,東京都,au Style 雑色,144-0055 東京都大田区仲六郷２－１５－８,https://www.au.com/storelocator/detail/?shopId=E-01145,35.550460,139.714700,ok
au,関東,東京都,au Style 上石神井,177-0044 東京都練馬区上石神井２－２５－４,https://www.au.com/storelocator/detail/?shopId=E-00697,35.726693,139.591585,ok
au,関東,東京都,au Style 神楽坂,162-0825 東京都新宿区神楽坂６－４８　TOMOSビル１Ｆ　,https://www.au.com/storelocator/detail/?shopId=E-01272,35.703296,139.736230,ok
au,関東,東京都,au Style 西荻窪,167-0042 東京都杉並区西荻北3-18-1　ガゼルビル１Ｆ　　,https://www.au.com/storelocator/detail/?shopId=E-00211,35.704280,139.599389,ok
au,関東,東京都,au Style 石神井公園,177-0041 東京都練馬区石神井町２丁目１４－１　石神井公園ピアレスＡ棟１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00648,35.744109,139.607461,ok
au,関東,東京都,au Style 足立一ツ家,121-0075 東京都足立区一ツ家１－１５－１４　アーバンライフ１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00916,35.780991,139.810792,ok
au,関東,東京都,au Style 足立江北,123-0872 東京都足立区江北４－３１－１,https://www.au.com/storelocator/detail/?shopId=E-01048,35.774365,139.769946,ok
au,関東,東京都,au Style 大森東口,143-0016 東京都大田区大森北１－８－１３　カスタリア大森２ １Ｆ,https://www.au.com/storelocator/detail/?shopId=E-01136,35.586686,139.727353,ok
au,関東,東京都,au Style 池上,146-0082 東京都大田区池上４－３１－１２,https://www.au.com/storelocator/detail/?shopId=E-01248,35.573172,139.704526,ok
au,関東,東京都,au Style 中野サンモール,164-0001 東京都中野区中野５－６７－１０,https://www.au.com/storelocator/detail/?shopId=E-00884,35.708272,139.665585,ok
au,関東,東京都,au Style 中野マルイ,164-0001 東京都中野区中野3-34-28　丸井2階,https://www.au.com/storelocator/detail/?shopId=E-00240,35.704745,139.665189,ok
au,関東,東京都,au Style 調布駅前,182-0024 東京都調布市布田４－６－１　調布丸善ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00241,35.650929,139.546261,ok
au,関東,東京都,au Style 東武練馬,175-0083 東京都板橋区徳丸３丁目１－２４　武蔵屋ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00275,35.769164,139.660809,ok
au,関東,東京都,au Style 八王子駅前,192-0083 東京都八王子市旭町１０－３　安嶋中央ビル１Ｆ,https://www.au.com/storelocator/detail/?shopId=E-00848,35.656940,139.339635,ok
au,関東,東京都,au Style 浜田山,168-0065 東京都杉並区浜田山３－３０－５,https://www.au.com/storelocator/detail/?shopId=E-00960,35.681973,139.627441,ok
