キャリア,地域,都道府県,店名,住所,URL
au,関東,東京都,au Style  UENO,110-0005 東京都台東区上野２－７－７ 上野HSビル,https://www.au.com/storelocator/detail/?shopId=E-01300
au,関東,東京都,au Style HACHIOJI,192-0083 東京都八王子市旭町９－１八王子オクトーレ３Ｆ,https://www.au.com/storelocator/detail/?shopId=E-01305
au,関東,東京都,au Style IKEBUKURO,170-0013 東京都豊島区東池袋１－１４－１　池袋スクエア １Ｆ/Ｂ１,https://www.au.com/storelocator/detail/?shopId=E-01307
au,関東,東京都,au Style KICHIJOJI,180-8552 東京都武蔵野市吉祥寺南町１-７-１　丸井吉祥寺店　２階,https://www.au.com/storelocator/detail/?shopId=E-01311
au,関東,東京都,au Style SHINJUKU,160-0022 東京都新宿区新宿　３丁目２５－１,https://www.au.com/storelocator/detail/?shopId=E-01181
au,関東,東京都,au Style TACHIKAWA,190-0023 東京都立川市柴崎町３丁目１－１　エキュート立川　３階,https://www.au.com/storelocator/detail/?shopId=E-01297
au,関東,東京都,au Style アルカキット錦糸町,130-0013 東京都墨田区錦糸２丁目２番１号　アルカキット錦糸町6F,https://www.au.com/storelocator/detail/?shopId=E-00356
au,関東,東京都,au Style イオンモールむさし村山,208-0022 東京都武蔵村山市榎１丁目１－３　,https://www.au.com/storelocator/detail/?shopId=E-01338
au,関東,東京都,au Style カメイドクロック,136-0071 東京都江東区亀戸6-31-6　カメイドクロック3階,https://www.au.com/storelocator/detail/?shopId=E-01324
au,関東,東京都,au Style ららぽーと立川立飛,190-0015 東京都立川市泉町９３５－１　ららぽーと立川立飛３階,https://www.au.com/storelocator/detail/?shopId=E-01182
au,関東,東京都,au Style 稲城矢野口,206-0812 東京都稲城市大字矢野口１６０３,https://www.au.com/storelocator/detail/?shopId=E-01157
au,関東,東京都,au Style 荻窪駅前,167-0032 東京都杉並区天沼３－３－４,https://www.au.com/storelocator/detail/?shopId=E-00276
au,関東,東京都,au Style 下北沢,155-0031 東京都世田谷区北沢２丁目１２－６　リバーストーンビル,https://www.au.com/storelocator/detail/?shopId=E-01276
