キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,中国,鳥取県,au Style イオンモール鳥取北,680-0904 鳥取県鳥取市晩稲３４８　　イオンモール鳥取北２階　　,https://www.au.com/storelocator/detail/?shopId=C-00556,35.524856,134.201899,ok
au,中国,鳥取県,au Style イオンモール日吉津,689-3553 鳥取県西伯郡日吉津村大字日吉津1160-1　西館2階,https://www.au.com/storelocator/detail/?shopId=C-00544,35.445770,133.387053,ok
au,中国,鳥取県,au Style 倉吉河北,682-0018 鳥取県倉吉市福庭町２－２１,https://www.au.com/storelocator/detail/?shopId=C-00242,35.464016,133.845114,ok
au,中国,鳥取県,au Style 鳥取国体道路,680-0921 鳥取県鳥取市古海２３,https://www.au.com/storelocator/detail/?shopId=C-00241,35.496967,134.211147,ok
au,中国,鳥取県,ａｕショップ 境港,684-0045 鳥取県境港市高松町１３８４－１３,https://www.au.com/storelocator/detail/?shopId=C-00203,35.518354,133.247928,ok
au,中国,鳥取県,ａｕショップ 鳥取湖山,680-0942 鳥取県鳥取市湖山町東4丁目41番地,https://www.au.com/storelocator/detail/?shopId=C-00167,35.515151,134.188057,ok
au,中国,鳥取県,ａｕショップ 鳥取扇町,680-0845 鳥取県鳥取市富安２－９２－２,https://www.au.com/storelocator/detail/?shopId=C-00498,35.489902,134.227980,ok
au,中国,鳥取県,ａｕショップ 米原,683-0804 鳥取県米子市米原５丁目７－１８,https://www.au.com/storelocator/detail/?shopId=C-00386,35.445686,133.328555,ok
au,中国,鳥取県,ａｕショップ 米子,683-0812 鳥取県米子市角盤町３－１６５,https://www.au.com/storelocator/detail/?shopId=C-00240,35.435748,133.330342,ok
au,中国,鳥取県,ａｕショップ 米子東福原,683-0802 鳥取県米子市東福原８－２８－２４,https://www.au.com/storelocator/detail/?shopId=C-00212,35.453712,133.346466,ok
docomo,中国,鳥取県,ドコモショップイオンモール鳥取北店,680-0904 鳥取県鳥取市晩稲348 イオンモール鳥取北,https://shop.smt.docomo.ne.jp/shop_detail/0750856309600/index.html,35.523875277778,134.20105972222,ok
docomo,中国,鳥取県,ドコモショップ皆生Ｒ４３１店,683-0004 鳥取県米子市上福原1-5,https://shop.smt.docomo.ne.jp/shop_detail/0701700137200/index.html,35.451749722222,133.35759972222,ok
docomo,中国,鳥取県,ドコモショップ境港店,684-0043 鳥取県境港市竹内町字千代畑3583-29,https://shop.smt.docomo.ne.jp/shop_detail/0701700271700/index.html,35.521934722222,133.24611777778,ok
