キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,北陸・甲信越,富山県,au Style イオンモール高岡,933-0813 富山県高岡市下伏間江３８３　　　イオンモール高岡　西館　１Ｆ　　,https://www.au.com/storelocator/detail/?shopId=H-00196,36.723917,137.016710,ok
au,北陸・甲信越,富山県,au Style 滑川,936-0053 富山県滑川市上小泉４７３,https://www.au.com/storelocator/detail/?shopId=H-00070,36.755569,137.346678,ok
au,北陸・甲信越,富山県,au Style 高岡清水町,933-0866 富山県高岡市清水町１－１－１２,https://www.au.com/storelocator/detail/?shopId=H-00049,36.741016,137.005020,ok
au,北陸・甲信越,富山県,au Style 高岡野村,933-0014 富山県高岡市野村６５５－１,https://www.au.com/storelocator/detail/?shopId=H-00176,36.744401,137.039134,ok
au,北陸・甲信越,富山県,au Style 山室,939-8015 富山県富山市中川原５００,https://www.au.com/storelocator/detail/?shopId=H-00057,36.675907,137.249865,ok
au,北陸・甲信越,富山県,au Style 小杉,939-0341 富山県射水市三ケ２７５０－１,https://www.au.com/storelocator/detail/?shopId=H-00072,36.715388,137.091561,ok
au,北陸・甲信越,富山県,au Style 新庄(富山県),930-0985 富山県富山市田中町５丁目４－１８,https://www.au.com/storelocator/detail/?shopId=H-00047,36.695837,137.245216,ok
au,北陸・甲信越,富山県,au Style 南砺,939-1702 富山県南砺市吉江中１２２４,https://www.au.com/storelocator/detail/?shopId=H-00076,36.569398,136.888206,ok
au,北陸・甲信越,富山県,ａｕショップ アピタ富山,939-8071 富山県富山市上袋１００　アピタ富山１Ｆ,https://www.au.com/storelocator/detail/?shopId=H-00142,36.660763,137.211500,ok
au,北陸・甲信越,富山県,ａｕショップ イオンモールとなみ,939-1344 富山県砺波市中神一丁目174番地　イオンモールとなみ1F,https://www.au.com/storelocator/detail/?shopId=H-00042,36.642261,136.948057,ok
au,北陸・甲信越,富山県,ａｕショップ ファボーレ,939-2716 富山県富山市婦中町下轡田１６５－１,https://www.au.com/storelocator/detail/?shopId=H-00168,36.661978,137.171935,ok
