キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,近畿,和歌山県,au Style イオン新宮,647-0052 和歌山県新宮市橋本2-14-23　イオン新宮2F,https://www.au.com/storelocator/detail/?shopId=K-00583,33.714347,135.990473,ok
au,近畿,和歌山県,au Style パビリオンシティ田辺,646-0051 和歌山県田辺市稲成町新江原３１６５　　パビリオンシティ田辺Ｃ館　１階　,https://www.au.com/storelocator/detail/?shopId=K-00834,33.744127,135.377144,ok
au,近畿,和歌山県,au Style 田辺バイパス,646-0004 和歌山県田辺市下万呂５７９－３,https://www.au.com/storelocator/detail/?shopId=K-00661,33.740021,135.392384,ok
au,近畿,和歌山県,ａｕショップ イオンモール和歌山,640-8454 和歌山県和歌山市ふじと台23番地　イオンモール和歌山1F,https://www.au.com/storelocator/detail/?shopId=K-00766,34.276243,135.149252,ok
au,近畿,和歌山県,ａｕショップ 延時,640-8444 和歌山県和歌山市次郎丸５８－１,https://www.au.com/storelocator/detail/?shopId=K-00469,34.255269,135.149388,ok
au,近畿,和歌山県,ａｕショップ 海南,642-0001 和歌山県海南市船尾２６４－３,https://www.au.com/storelocator/detail/?shopId=K-00128,34.159041,135.199027,ok
au,近畿,和歌山県,ａｕショップ 岩出,649-6215 和歌山県岩出市中迫７３－１,https://www.au.com/storelocator/detail/?shopId=K-00603,34.260866,135.316819,ok
au,近畿,和歌山県,ａｕショップ 吉備,643-0024 和歌山県有田郡有田川町水尻１８３－１,https://www.au.com/storelocator/detail/?shopId=K-00586,34.051270,135.192188,ok
au,近畿,和歌山県,ａｕショップ 橋本中央,648-0073 和歌山県橋本市市脇４丁目１－２３,https://www.au.com/storelocator/detail/?shopId=K-00623,34.313668,135.601652,ok
au,近畿,和歌山県,ａｕショップ 御坊,644-0011 和歌山県御坊市湯川町財部６３２－１,https://www.au.com/storelocator/detail/?shopId=K-00043,33.898325,135.150217,ok
