キャリア,地域,都道府県,店名,住所,URL
au,東北,山形県,au Style イオンモール山形南,990-2453 山形県山形市若宮３丁目７ー８イオンモール山形南２階,https://www.au.com/storelocator/detail/?shopId=T-00407
au,東北,山形県,au Style ときめき通り,990-0074 山形県山形市芳野３－１,https://www.au.com/storelocator/detail/?shopId=T-00144
au,東北,山形県,au Style 山形上町,990-2483 山形県山形市上町３－５－１４,https://www.au.com/storelocator/detail/?shopId=T-00301
au,東北,山形県,au Style 酒田みずほ,998-0853 山形県酒田市みずほ１丁目２１－８,https://www.au.com/storelocator/detail/?shopId=T-00389
au,東北,山形県,au Style 新庄(山形県),996-0002 山形県新庄市金沢 字 中関屋 802-2,https://www.au.com/storelocator/detail/?shopId=T-00113
au,東北,山形県,au Style 長井,993-0013 山形県長井市館町南12-26,https://www.au.com/storelocator/detail/?shopId=T-00050
au,東北,山形県,au Style 徳町大通り,992-0043 山形県米沢市大字塩野２７４７－１７,https://www.au.com/storelocator/detail/?shopId=T-00043
au,東北,山形県,ａｕショップ イオンモール天童,994-0082 山形県天童市芳賀タウン北四丁目1番1号イオンモール天童1F,https://www.au.com/storelocator/detail/?shopId=T-00290
au,東北,山形県,ａｕショップ さくらんぼ東根,999-3730 山形県東根市中央南２－５－６,https://www.au.com/storelocator/detail/?shopId=T-00112
au,東北,山形県,ａｕショップ 寒河江,991-0041 山形県寒河江市大字寒河江字赤田７３－１,https://www.au.com/storelocator/detail/?shopId=T-00115
au,東北,山形県,ａｕショップ 山形西バイパス,990-0832 山形県山形市城西町５－３５－５０,https://www.au.com/storelocator/detail/?shopId=T-00374
au,東北,山形県,ａｕショップ 山形嶋,990-0885 山形県山形市嶋北4-2-7ヨークタウン嶋地内,https://www.au.com/storelocator/detail/?shopId=T-00116
au,東北,山形県,ａｕショップ 村山駅西,995-0038 山形県村山市駅西１７－８,https://www.au.com/storelocator/detail/?shopId=T-00373
au,東北,山形県,ａｕショップ 鶴岡新斎町,997-0041 山形県鶴岡市城北町２６－１３,https://www.au.com/storelocator/detail/?shopId=T-00285
docomo,東北,山形県,ドコモショップイオンタウン新庄店,996-0001 山形県新庄市五日町字清水川1302-1,https://shop.smt.docomo.ne.jp/shop_detail/0200200382900/index.html
