キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,中国,山口県,au Style イオンタウン防府,747-0823 山口県防府市鐘紡町７－１　イオンタウン防府１Ｆ,https://www.au.com/storelocator/detail/?shopId=C-00497,34.049482,131.588692,ok
au,中国,山口県,au Style コスパ新下関,751-0886 山口県下関市石原３０３　コスパビル内,https://www.au.com/storelocator/detail/?shopId=C-00481,34.014985,130.949242,ok
au,中国,山口県,au Style ゆめタウン山口,753-0251 山口県山口市大内千坊6丁目9-1　ゆめタウン山口２F,https://www.au.com/storelocator/detail/?shopId=C-00379,34.160099,131.491369,ok
au,中国,山口県,au Style 光島田,743-0063 山口県光市島田２－２４－１０,https://www.au.com/storelocator/detail/?shopId=C-00134,33.969497,131.933211,ok
au,中国,山口県,au Style 山口平川,753-0831 山口県山口市平井３０５－１,https://www.au.com/storelocator/detail/?shopId=C-00137,34.157679,131.466050,ok
au,中国,山口県,au Style 周南遠石,745-0816 山口県周南市遠石1丁目11番4号,https://www.au.com/storelocator/detail/?shopId=C-00384,34.041344,131.821744,ok
au,中国,山口県,au Style 新山口,754-0002 山口県山口市小郡下郷７８９－１１,https://www.au.com/storelocator/detail/?shopId=C-00499,34.103242,131.394159,ok
au,中国,山口県,au Style 防府八王子,747-0037 山口県防府市八王子１丁目３１－２９,https://www.au.com/storelocator/detail/?shopId=C-00441,34.056737,131.568656,ok
au,中国,山口県,ａｕショップ イオン光,743-0046 山口県光市浅江木園１７５６－１　イオン光店１Ｆ,https://www.au.com/storelocator/detail/?shopId=C-00519,33.979373,131.927411,ok
au,中国,山口県,ａｕショップ おのだサンパーク,756-0806 山口県山陽小野田市中川６丁目４－１　おのだサンパーク2F,https://www.au.com/storelocator/detail/?shopId=C-00500,33.985470,131.170945,ok
au,中国,山口県,ａｕショップ フジグラン宇部,755-0008 山口県宇部市明神町３丁目１－１　フジグラン宇部２Ｆ,https://www.au.com/storelocator/detail/?shopId=C-00189,33.930533,131.255647,ok
au,中国,山口県,ａｕショップ フレスタモール岩国,740-0021 山口県岩国市室の木町１丁目２－３８　フレスタモール岩国1F,https://www.au.com/storelocator/detail/?shopId=C-00474,34.170299,132.214092,ok
