キャリア,地域,都道府県,店名,住所,URL,緯度,経度,取得結果
au,北陸・甲信越,山梨県,ａｕショップ イオンタウン山梨中央,409-3821 山梨県中央市下河東３０５３－１,https://www.au.com/storelocator/detail/?shopId=E-00627,35.608453,138.542924,ok
au,北陸・甲信越,山梨県,ａｕショップ イオンモール甲府昭和,409-3852 山梨県中巨摩郡昭和町飯喰１５０５－１ イオンモール甲府昭和１F,https://www.au.com/storelocator/detail/?shopId=E-00932,35.623878,138.527053,ok
au,北陸・甲信越,山梨県,ａｕショップ ラザウォーク双葉,400-0107 山梨県甲斐市志田字柿木６４５－１　ラザウォーク甲斐双葉店内,https://www.au.com/storelocator/detail/?shopId=E-01085,35.684720,138.483311,ok
au,北陸・甲信越,山梨県,ａｕショップ 甲斐竜王,400-0117 山梨県甲斐市西八幡２２３３－１,https://www.au.com/storelocator/detail/?shopId=E-00625,35.639250,138.520306,ok
au,北陸・甲信越,山梨県,ａｕショップ 甲府,400-0854 山梨県甲府市中小河原町５３３,https://www.au.com/storelocator/detail/?shopId=E-00619,35.630089,138.570518,ok
au,北陸・甲信越,山梨県,ａｕショップ 甲府荒川,400-0061 山梨県甲府市荒川１－８－２５,https://www.au.com/storelocator/detail/?shopId=E-00621,35.675645,138.539736,ok
au,北陸・甲信越,山梨県,ａｕショップ 甲府昭和,400-0043 山梨県甲府市国母５－９－１８,https://www.au.com/storelocator/detail/?shopId=E-00623,35.641067,138.550030,ok
au,北陸・甲信越,山梨県,ａｕショップ 甲府和戸,400-0802 山梨県甲府市横根町４８８－４,https://www.au.com/storelocator/detail/?shopId=E-00841,35.654449,138.614371,ok
au,北陸・甲信越,山梨県,ａｕショップ 山梨万力,405-0031 山梨県山梨市万力１００,https://www.au.com/storelocator/detail/?shopId=E-00642,35.686417,138.668447,ok
au,北陸・甲信越,山梨県,ａｕショップ 石和,406-0036 山梨県笛吹市石和町窪中島１２６－１,https://www.au.com/storelocator/detail/?shopId=E-00620,35.647370,138.634897,ok
au,北陸・甲信越,山梨県,ａｕショップ 長坂,408-0034 山梨県北杜市長坂町大八田１４７－６,https://www.au.com/storelocator/detail/?shopId=E-00657,35.833589,138.391170,ok
au,北陸・甲信越,山梨県,ａｕショップ 都留,402-0001 山梨県都留市田野倉４５５,https://www.au.com/storelocator/detail/?shopId=E-00622,35.598619,138.931927,ok
au,北陸・甲信越,山梨県,ａｕショップ 韮崎,407-0014 山梨県韮崎市富士見１－５－１０,https://www.au.com/storelocator/detail/?shopId=E-00626,35.710450,138.454159,ok
au,北陸・甲信越,山梨県,ａｕショップ 富士吉田,403-0004 山梨県富士吉田市下吉田　６丁目１８－２１,https://www.au.com/storelocator/detail/?shopId=E-00624,35.484426,138.805355,ok
docomo,関東,山梨県,ドコモショップイオンタウン山梨中央店,409-3821 山梨県中央市下河東1-53 イオンタウン山梨中央ＳＣ内,https://shop.smt.docomo.ne.jp/shop_detail/0300306864400/index.html,35.608381111111,138.54173083333,ok
docomo,関東,山梨県,ドコモショップイオンモール甲府昭和店,409-3852 山梨県中巨摩郡昭和町飯喰1505-1,https://shop.smt.docomo.ne.jp/shop_detail/0361131992000/index.html,35.623226944444,138.52719,ok
docomo,関東,山梨県,ドコモショップきららシティ長坂店,408-0034 山梨県北杜市長坂町大八田160 きららシティ長坂,https://shop.smt.docomo.ne.jp/shop_detail/0300303541100/index.html,35.83285,138.39089805556,ok
docomo,関東,山梨県,ドコモショップラザウォーク双葉店,400-0107 山梨県甲斐市志田字柿木645-1 ラザウォーク甲斐双葉　１４２,https://shop.smt.docomo.ne.jp/shop_detail/0300306416800/index.html,35.684663888889,138.48207805556,ok
docomo,関東,山梨県,ドコモショップ一宮イッツモア店,405-0076 山梨県笛吹市一宮町竹原田1333 イッツモアＳＣ内,https://shop.smt.docomo.ne.jp/shop_detail/0300306845100/index.html,35.646255,138.67551694444,ok
docomo,関東,山梨県,ドコモショップ甲府バイパス店,400-0814 山梨県甲府市上阿原町379-1,https://shop.smt.docomo.ne.jp/shop_detail/0300306227700/index.html,35.6460075,138.60871,ok
docomo,関東,山梨県,ドコモショップ甲府西店,400-0026 山梨県甲府市塩部2-2-29,https://shop.smt.docomo.ne.jp/shop_detail/0361164004900/index.html,35.671752777778,138.55365611111,ok
docomo,関東,山梨県,ドコモショップ甲府石和店,406-0031 山梨県笛吹市石和町市部1129,https://shop.smt.docomo.ne.jp/shop_detail/0300305686200/index.html,35.649915833333,138.63528277778,ok
docomo,関東,山梨県,ドコモショップ甲府中央店,400-0031 山梨県甲府市丸の内2-31-3 ドコモ甲府丸の内ビル,https://shop.smt.docomo.ne.jp/shop_detail/0300306127900/index.html,35.662330555556,138.56734888889,ok
docomo,関東,山梨県,ドコモショップ上野原店,409-0112 山梨県上野原市上野原1-38,https://shop.smt.docomo.ne.jp/shop_detail/0300306806300/index.html,35.623062222222,139.11129,ok
docomo,関東,山梨県,ドコモショップ身延店,409-3423 山梨県南巨摩郡身延町飯富29-Jan,https://shop.smt.docomo.ne.jp/shop_detail/0300303755800/index.html,35.432991666667,138.44123138889,ok
docomo,関東,山梨県,ドコモショップ大月店,402-0001 山梨県都留市田野倉114-1,https://shop.smt.docomo.ne.jp/shop_detail/0300303516500/index.html,35.601319722222,138.93669972222,ok
docomo,関東,山梨県,ドコモショップ田富店,409-3851 山梨県中巨摩郡昭和町河西1151-1,https://shop.smt.docomo.ne.jp/shop_detail/0300306340300/index.html,35.618801111111,138.51927111111,ok
docomo,関東,山梨県,ドコモショップ東山梨店,405-0031 山梨県山梨市万力字足原田1009-1,https://shop.smt.docomo.ne.jp/shop_detail/0361131990700/index.html,35.688854722222,138.67347583333,ok
docomo,関東,山梨県,ドコモショップ南アルプス店,400-0305 山梨県南アルプス市十五所685-3 南アルプスガーデン内,https://shop.smt.docomo.ne.jp/shop_detail/0300301405500/index.html,35.618830277778,138.46959833333,ok
docomo,関東,山梨県,ドコモショップ韮崎店,407-0004 山梨県韮崎市藤井町南下條205 オギノ韮崎店内,https://shop.smt.docomo.ne.jp/shop_detail/0300300344600/index.html,35.719997777778,138.45248583333,ok
docomo,関東,山梨県,ドコモショップ富士吉田店,403-0032 山梨県富士吉田市上吉田東2-8,https://shop.smt.docomo.ne.jp/shop_detail/0300306046900/index.html,35.476944444444,138.80972222222,ok
softbank,甲信越,山梨県,ソフトバンク アルプス通り,山梨県甲斐市西八幡３６２９‐１５,https://www.softbank.jp/shop/search/detail/T804/,35.639473,138.51698,ok
softbank,甲信越,山梨県,ソフトバンク イオンモール甲府昭和,山梨県中巨摩郡昭和町飯喰１５０５‐１　１Ｆ,https://www.softbank.jp/shop/search/detail/T813/,35.622337,138.52734,ok
softbank,甲信越,山梨県,ソフトバンク ラザウォーク甲斐双葉,山梨県甲斐市志田字柿木６４５‐１,https://www.softbank.jp/shop/search/detail/T812/,35.68423,138.48372,ok
softbank,甲信越,山梨県,ソフトバンク 甲府向町,山梨県甲府市向町（字蛭田）１５２番地１,https://www.softbank.jp/shop/search/detail/TH83/,35.64851,138.6108,ok
softbank,甲信越,山梨県,ソフトバンク 甲府昭和,山梨県中巨摩郡昭和町西条１８‐１,https://www.softbank.jp/shop/search/detail/T802/,35.636696,138.54524,ok
softbank,甲信越,山梨県,ソフトバンク 甲府西,山梨県甲府市下飯田３丁目８‐２９,https://www.softbank.jp/shop/search/detail/TH67/,35.660942,138.55122,ok
softbank,甲信越,山梨県,ソフトバンク 山梨市駅前,山梨県山梨市上神内川１５１１,https://www.softbank.jp/shop/search/detail/T811/,35.68596,138.6811,ok
softbank,甲信越,山梨県,ソフトバンク 石和,山梨県笛吹市石和町窪中島１１８‐１,https://www.softbank.jp/shop/search/detail/T800/,35.64623,138.63399,ok
softbank,甲信越,山梨県,ソフトバンク 都留,山梨県都留市田野倉１１３‐１,https://www.softbank.jp/shop/search/detail/T808/,35.6014,138.93698,ok
softbank,甲信越,山梨県,ソフトバンク 韮崎,山梨県韮崎市藤井町南下條２２９‐１　オギノ韮崎ショッピングセンター内,https://www.softbank.jp/shop/search/detail/T805/,35.719913,138.45139,ok
softbank,甲信越,山梨県,ソフトバンク 富士吉田,山梨県富士吉田市下吉田６丁目２０‐１０,https://www.softbank.jp/shop/search/detail/T803/,35.48372,138.80637,ok
